
 Lista de Imóveis da Caixa;;Data de geração:;23/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1444420771053 ;ES ;ARACRUZ ;RESIDENCIAL SOLAR BITTI ;RUA GRACIANO GASPARINI, N. 69, LT 22 QD 20 ;605.448,59;950.000,00;36.27;Casa, 187.60 de área total, 187.60 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444420771053
 10209013 ;ES ;CACHOEIRO DE ITAPEMIRIM ;WALDIR FURTADO AMORIM ;RUA ALCEBÍADES JOSÉ SOBREIRA, N. 134a180 ;2.809.886,87;5.187.000,00;45.83;Gleba Urbana, 0.00 de área total, 0.00 de área privativa, 20005.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10209013
 10208964 ;ES ;CACHOEIRO DE ITAPEMIRIM ;WALDIR FURTADO AMORIM ;AVENIDA ARISTÓTELES MENICUCCI, N. 76 A 120 ;6.807.791,35;10.682.000,00;36.27;Galpão, 0.00 de área total, 10480.15 de área privativa, 11602.38 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10208964
 1444417617847 ;ES ;CACHOEIRO DE ITAPEMIRIM ;ARARIGUABA ;RUA JOSE PEREIRA BARROS, N. 54, LT 09 QD 07 ;820.000,00;820.000,00;0.00;Casa, 0.00 de área total, 311.84 de área privativa, 456.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444417617847
 1555526040496 ;ES ;CACHOEIRO DE ITAPEMIRIM ;AGOSTINHO SIMONATO ;AVENIDA JONES DOS SANTOS NEVES, N. 1142, Apto 601, BL A3 ;153.010,81;153.010,81;0.00;Apartamento, 84.13 de área total, 50.73 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555526040496
 8787712497858 ;ES ;CARIACICA ;JARDIM DE ALAH ;RUA TREZE, N. 160, Apto 501, BL 13 TÉRREO VG 47 ;108.000,00;180.000,00;40.00;Apartamento, 59.40 de área total, 40.82 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712497858
 8444416247181 ;ES ;CARIACICA ;PORTO DE CARIACICA ;RUA ALECRIM, N. 34, QD 40, LT 2 LOT PORTOBELLO ;163.000,00;163.000,00;0.00;Casa, 55.90 de área total, 55.90 de área privativa, 247.50 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416247181
 8787705405641 ;ES ;CARIACICA ;TUCUM ;RUA SAO PAULO APOSTOLO, N. 23, Apto 203, BL 10 ;215.000,00;215.000,00;0.00;Apartamento, 70.80 de área total, 41.85 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705405641
 8787707450598 ;ES ;CARIACICA ;TUCUM ;RUA SAO PAULO APOSTOLO, N. 23, Apto 203, BL 08 ;200.000,00;200.000,00;0.00;Apartamento, 60.26 de área total, 41.85 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707450598
 8787709931470 ;ES ;CARIACICA ;TUCUM ;RUA SAO PAULO APOSTOLO, N. 23, Apto 203, BL 14 PAV 2 VG 141 ;154.572,96;149.000,00;0.00;Apartamento, 60.26 de área total, 41.85 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709931470
 8444422787443 ;ES ;COLATINA ;SAO BRAZ ;RUA ANGELO MOROZINI, N. 30, LT 12 QD 02 ;265.800,00;443.000,00;40.00;Casa, 110.00 de área total, 50.00 de área privativa, 200.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422787443
 1444419505094 ;ES ;ITAPEMIRIM ;PRAIA DE ITAIPAVA ; R DEOZOLINA VIANA DE AGUIAR, N. 181, CS 02 ;172.552,85;285.000,00;39.46;Casa, 122.96 de área total, 107.46 de área privativa, 250.70 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419505094
 1444406972578 ;ES ;LINHARES ;PLANALTO ;RUA EMERSON DA SILVA AGUIAR, N. 1345, CS 02 LT 06 QD 12 ;150.000,00;250.000,00;40.00;Casa, 75.14 de área total, 75.14 de área privativa, 180.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406972578
 8444406411400 ;ES ;MONTANHA ;VINHÁTICO ; RUA MARECHAL DEODORO, N. 51, LOTE 02B ;84.892,14;145.000,00;41.46;Casa, 62.00 de área total, 62.00 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406411400
 1444405436419 ;ES ;MUCURICI ;SOSTENES F DA SILVA ; RUA RAILDO FERREIRA DA SILVA, N. 40, ;309.097,44;485.000,00;36.27;Casa, 357.49 de área total, 357.49 de área privativa, 650.00 de área do terreno,  3 qto(s), WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444405436419
 1444419128614 ;ES ;SAO MATEUS ;AYRTON SENNA ;RUA DAS VIOLETAS, N. 27, QD 13 LT 02 ;213.500,29;335.000,00;36.27;Casa, 123.60 de área total, 123.60 de área privativa, 219.61 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419128614
 8055600005527 ;ES ;SAO MATEUS ;Guriri ;RUA JOSE VIEIRA DOS SANTOS, N. 582, LT 21 QD 30 ;248.552,58;390.000,00;36.27;Casa, 155.80 de área total, 109.80 de área privativa, 300.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8055600005527
 8444402684185 ;ES ;SAO MATEUS ;GURIRI SUL ;RUA PEDRO ALVES RIBEIRO, N. SN, LOTE 04-A QUADRA 33-MI ;140.000,00;140.000,00;0.00;Casa, 56.12 de área total, 56.12 de área privativa, 150.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402684185
 8444424580269 ;ES ;SAO MATEUS ;AYRTON SENNA ;RUA FLAMBOAIANT, N. 195, LT 14 QD C ;165.842,57;85.500,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 200.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424580269
 8444412258138 ;ES ;SERRA ;JARDIM BELA VISTA ;RUA DEZENOVE, N. 39, Apto 105, 02 PAVIMENTOS ;156.137,65;255.000,00;38.77;Apartamento, 0.00 de área total, 98.15 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444412258138
 8555538149402 ;ES ;SERRA ;COLINA DE LARANJEIRAS ;RUA DOM PEDRO II, N. 312, Apto 105, BL 01 VAGA 09 ;215.531,18;352.000,00;38.77;Apartamento, 69.00 de área total, 47.35 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555538149402
