
 Lista de Imóveis da Caixa;;Data de geração:;23/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444403570957 ;MG ;AIMORES ;BETEL ;RUA CANAA, N. 189, LT 53 QD L ;89.365,22;176.000,00;49.23;Casa, 63.96 de área total, 63.96 de área privativa, 150.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444403570957
 1444417838991 ;MG ;ALFENAS ;JARDIM ALVORADA ;RUA JOAO PINHEIRO, N. 1949, QD O LT 13 ;238.992,86;375.000,00;36.27;Casa, 159.68 de área total, 159.68 de área privativa, 192.50 de área do terreno,  3 qto(s), WC, 1 sala(s), 1 lavabo(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444417838991
 1444409060278 ;MG ;ALFENAS ;RESIDENCIAL SAO LUCAS ;AVENIDA MANOEL ALVES TAVEIRA, N. 1887, QD J, LT 03 ;400.000,00;400.000,00;0.00;Casa, 138.50 de área total, 138.50 de área privativa, 300.00 de área do terreno,  3 qto(s), WC, 2 sala(s), 1 lavabo(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444409060278
 8444409096041 ;MG ;ALFENAS ;JARDIM EUNICE ;RUA JOSE DO ROSARIO VELANO, N. 255, ;128.343,00;128.343,00;0.00;Casa, 64.56 de área total, 64.56 de área privativa, 228.48 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409096041
 1555539999061 ;MG ;ALMENARA ;CENTRO ; R CANDIDO MARES, N. 601, Apto 1, CS 601 ;206.330,50;370.000,00;44.24;Apartamento, 0.00 de área total, 310.44 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555539999061
 8444426163487 ;MG ;ALMENARA ;PARQUE SAO JOAO ; RUA MILTON GUIMARÃES CARDOSO, N. 148, ;23.236,42;40.000,00;41.91;Terreno, 0.00 de área total, 0.00 de área privativa, 150.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426163487
 1444409348506 ;MG ;ALMENARA ;CENTRO ;RUA CANDIDO MARES, N. 601, Apto 201, ;223.060,01;350.000,00;36.27;Apartamento, 94.93 de área total, 94.93 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444409348506
 10211829 ;MG ;ANGELANDIA ;CENTRO ;RUA CLEMENTE CELESTINO DE ALMEIDA, N. 167 ;233.642,61;385.900,00;39.46;Galpão, 0.00 de área total, 212.65 de área privativa, 418.23 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10211829
 8444405226935 ;MG ;ARACUAI ;ALTO SANTUARIO ;RUA MATO GROSSO, N. SN, . ;82.756,42;145.400,00;43.09;Casa, 0.00 de área total, 99.20 de área privativa, 273.61 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405226935
 1444418273149 ;MG ;ARAGUARI ;CENTRO ;PRACA GAIOSO NEVES, N. 208, ;542.035,80;945.000,00;42.65;Casa, 0.00 de área total, 225.32 de área privativa, 357.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418273149
 8787702277855 ;MG ;ARAGUARI ;SAO SEBASTIAO ;RUA E, N. 1041, LT 04 QD 16 ;99.000,00;165.000,00;40.00;Casa, 49.79 de área total, 49.79 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702277855
 10221025 ;MG ;ARAGUARI ;JARDIM PANORAMA ;RUA QUATRO, N. 00, QD 17, LT 04 ;120.219,85;191.000,00;37.06;Terreno, 0.00 de área total, 0.00 de área privativa, 1406.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10221025
 10224694 ;MG ;ARAGUARI ;JARDIM PANORAMA ;RUA NOVE, N. S/N, QD 15, LT 05 ;321.843,72;505.000,00;36.27;Terreno, 0.00 de área total, 0.00 de área privativa, 2275.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10224694
 8444417766972 ;MG ;ARAGUARI ;OURO VERDE ;AVENIDA BELO HORIZONTE, N. 55, QUADRA 04, LOTE 06 ;312.000,00;312.000,00;0.00;Casa, 167.85 de área total, 167.85 de área privativa, 348.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417766972
 8444429612843 ;MG ;ARAGUARI ;VIENO ;RUA JOSE NOCERA, N. SN, QD 12 LT 54 ;196.000,00;84.507,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 266.60 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429612843
 8444416291776 ;MG ;ARAXA ;JARDIM NATALIA ;RUA CLEIDE CARVALHO BATISTA, N. 225,  LOTE 2 QUADRA 8 ;176.153,54;175.000,00;0.00;Casa, 48.00 de área total, 48.00 de área privativa, 200.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416291776
 8444409966747 ;MG ;ARCOS ;CIDADE NOVA ;AVENIDA DOUTOR JOAO VAZ SOBRINHO, N. 55,  LT 03 QD 03 ;172.000,00;172.000,00;0.00;Casa, 0.00 de área total, 67.67 de área privativa, 360.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409966747
 8444414147570 ;MG ;AREADO ;ROSÁRIO ;R BAHIA, N. 691, ;60.392,76;100.000,00;39.61;Casa, 0.00 de área total, 48.45 de área privativa, 120.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414147570
 8444421615509 ;MG ;AREADO ;ROSÁRIO ; RUA BAHIA, N. 429, ;57.977,05;96.000,00;39.61;Casa, 68.55 de área total, 68.55 de área privativa, 118.50 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421615509
 8444410071979 ;MG ;AREADO ;ROSÁRIO ; RUA NOVE, N. 39, LT 06, QD L ;111.816,50;185.000,00;39.56;Casa, 69.75 de área total, 69.75 de área privativa, 132.53 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410071979
 8444425807720 ;MG ;AREADO ;LOT RECANTO VERDE ;RUA TRES, N. 99, LT 13 QD D ;114.838,57;190.000,00;39.56;Casa, 0.00 de área total, 66.08 de área privativa, 163.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425807720
 8444423243862 ;MG ;AREADO ;SÃO VICENTE ; RUA PADRE ANTONIO HENRIQUES DO VALE, N. 877, 877 ;98.816,70;160.000,00;38.24;Casa, 76.50 de área total, 52.50 de área privativa, 144.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444423243862
 1444407721544 ;MG ;AREADO ;SANTA RITA ; RUA SANTA RITA, N. 161, ;138.473,13;220.000,00;37.06;Casa, 135.00 de área total, 75.80 de área privativa, 160.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444407721544
 8444424148456 ;MG ;AREADO ;ROSÁRIO ; RUA JOSE BONIFACIO, N. 870, ;136.000,00;136.000,00;0.00;Casa, 69.86 de área total, 69.86 de área privativa, 134.81 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424148456
