
 Lista de Imóveis da Caixa;;Data de geração:;26/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444423735870 ;CE ;AQUIRAZ ;CABECEIRA DA ROÇA ;AVENIDA FRANCISCA TAVARES DE CASTRO, N. 291, LT 05 QD A ;100.741,08;170.000,00;40.75;Casa, 82.65 de área total, 82.65 de área privativa, 171.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444423735870
 8555534119428 ;CE ;AQUIRAZ ;TAPERA ; RUA  ERNESTO BENTO DE FREITAS, N. 856, CS 07 ;91.570,92;150.000,00;38.96;Casa, 77.00 de área total, 77.00 de área privativa, 92.42 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555534119428
 1444406878245 ;CE ;AQUIRAZ ;PAU POMBO ;RUA A, N. SN, LT 12 13 28 E 29 QD 02 ;423.814,01;665.000,00;36.27;Casa, 445.00 de área total, 445.00 de área privativa, 1584.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406878245
 8444417625074 ;CE ;AQUIRAZ ;PLANAL NOVA AQUIRAZ ; RUA A, N. 84B, LT 09, QD B ;220.000,00;220.000,00;0.00;Casa, 69.48 de área total, 69.48 de área privativa, 195.18 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417625074
 10278239 ;CE ;ASSARE ;CENTRO ;RODVIA CE 176(EST QUE LIGA ARATAMA A ASSARE), N. SN, VILA ARATAMA ;427.000,00;427.000,00;0.00;Gleba, 0.00 de área total, 0.00 de área privativa, 16333.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10278239
 8444401298150 ;CE ;BEBERIBE ;OLHO DAGUA ; RUA   R 12, N. 27, ;55.865,57;96.500,00;42.11;Casa, 63.66 de área total, 63.66 de área privativa, 180.00 de área do terreno,  2 qto(s).;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444401298150
 1444413147811 ;CE ;CANINDE ;RIACHO SAO FRANCISCO ; RUA B, N. 161, ;98.816,70;160.000,00;38.24;Casa, 89.95 de área total, 89.95 de área privativa, 131.62 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444413147811
 8074600002869 ;CE ;CANINDE ;SANTA LUZIA ; AVLUCIANO MAGALHÃES, N. 1731, ;146.000,00;146.000,00;0.00;Casa, 67.80 de área total, 67.80 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8074600002869
 10202965 ;CE ;CARIRIACU ;PADRE CÍCERO ;RUA JOAQUIM ROMÃO BATISTA, N. 00, GLEBA A1-2 ;12.174,72;22.724,00;46.43;Terreno, 0.00 de área total, 0.00 de área privativa, 197.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10202965
 8444409174620 ;CE ;CASCAVEL ;JARDIM PRIMAVERA ; RUA 1, N. 1364, ;91.866,97;159.000,00;42.23;Casa, 0.00 de área total, 84.00 de área privativa, 145.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409174620
 8444417033452 ;CE ;CASCAVEL ;JARDIM PRIMAVERA ; RUA A, N. 2236-A, LOT RES JARDIM PRIMAVERA ;74.146,96;128.000,00;42.08;Casa, 72.35 de área total, 72.35 de área privativa, 135.57 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417033452
 8444420304437 ;CE ;CASCAVEL ;LOT SOLAR CASCAVEL ; RUA MANOEL CARLOS OLIVEIRA, N. 1460 A, QD F LT 18 MATA-QUIRI ;72.988,41;126.000,00;42.08;Casa, 59.82 de área total, 59.82 de área privativa, 100.87 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444420304437
 8787700925205 ;CE ;CASCAVEL ;LT PRIME RES II ; JOSE QUARIGAZIL, N. 334, LT 14 QD 02 ;114.838,57;190.000,00;39.56;Casa, 84.00 de área total, 84.00 de área privativa, 250.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787700925205
 10217326 ;CE ;CASCAVEL ;PARQUE URUPÊ ;RUA JOÃO IRINEU FILHO, N. 868, QD 17, PARTE LT 06 ;86.076,66;141.000,00;38.96;Casa, 0.00 de área total, 79.00 de área privativa, 210.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10217326
 10217328 ;CE ;CASCAVEL ;PARQUE URUPÊ ;RUA JOÃO IRINEU FILHO, N. 862, QD 17, PARTE LT 06 ;96.963,89;157.000,00;38.24;Casa, 0.00 de área total, 79.00 de área privativa, 210.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10217328
 8444402516193 ;CE ;CASCAVEL ;MATA-QUIRI ; RUA 12, N. 667, ;116.443,31;185.000,00;37.06;Casa, 89.00 de área total, 89.00 de área privativa, 240.21 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402516193
 8444409313069 ;CE ;CASCAVEL ;JARDIM PRIMAVERA ;RUA 01, N. 1357, ;142.500,00;142.500,00;0.00;Casa, 84.00 de área total, 84.00 de área privativa, 140.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409313069
 8444411872150 ;CE ;CASCAVEL ;CORRENTES NEVES ; ESTRADA DO FIO TELÉGRAFO, N. 932, ;260.000,00;260.000,00;0.00;Casa, 99.93 de área total, 99.93 de área privativa, 183.90 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444411872150
 8444430072903 ;CE ;CAUCAIA ;JANDAIGUABA ; RUA CAMPOS VERDES, N. 54, Apto 406, BL B, ATUAL RUA JANDAIGUABINHA ;80.118,79;169.000,00;52.60;Apartamento, 0.00 de área total, 50.80 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444430072903
 8555521957446 ;CE ;CAUCAIA ;PQ MALOUBER ;RUA ANTONIO MOREIRA DA ROCHA, N. 855, Apto 203, BL A ;63.942,61;120.000,00;46.72;Apartamento, 0.00 de área total, 45.53 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555521957446
 1444402708558 ;CE ;CAUCAIA ;PACHECO ;RUA PASTOR PEDRO QUEIROZ, N. 438, LT 03 QD 99 ANTIGA RUA H ;189.601,00;340.000,00;44.24;Casa, 0.00 de área total, 191.00 de área privativa, 1000.00 de área do terreno,  4 qto(s), a.serv, WC, WC Emp, 1 sala(s), DCE, cozinha, 5 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444402708558
 1444417110548 ;CE ;CAUCAIA ;TOCO (JUREMA) ;RUA 07, N. 755, CS 01 LOT LINO DA SILVEIRA ;85.374,57;150.000,00;43.09;Casa, 0.00 de área total, 48.64 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444417110548
 8444425078869 ;CE ;CAUCAIA ;PAUMIRIM ;RUA 1, N. 45, Apto 002A, BL 01 ;92.444,76;160.000,00;42.23;Apartamento, 0.00 de área total, 54.65 de área privativa, 0.00 de área do terreno, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425078869
