
 Lista de Imóveis da Caixa;;Data de geração:;26/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1444413830678 ;RJ ;ANGRA DOS REIS ;PARQUE MAMBUCABA MAM ;RUA TRES DE MAIO, N. SN, QD 60 LT 21 ;329.410,08;770.695,00;57.26;Casa, 0.00 de área total, 356.53 de área privativa, 1200.00 de área do terreno, 4 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444413830678
 1444400657530 ;RJ ;ANGRA DOS REIS ;PRAIA DA RIBEIRA (CUNHAMBEBE) ;R ILHA GRANDE, N. S/N, CASA 09 ;369.000,00;369.000,00;0.00;Casa, 81.75 de área total, 81.75 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444400657530
 8444400720001 ;RJ ;ARARUAMA ;PARATY ;R ITACOLOMI, N. 280, CS ;58.639,22;180.434,41;67.51;Casa, 0.00 de área total, 67.40 de área privativa, 450.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444400720001
 8444404819207 ;RJ ;ARARUAMA ;MONTEIRO SAO VICENTE ;ESTRADA SAO DE VICENTE, N. SN, CS 18 ;44.404,59;125.000,00;64.48;Casa, 0.00 de área total, 58.46 de área privativa, 163.93 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404819207
 8444409862615 ;RJ ;ARARUAMA ;LAGOINHA ;RUA AMETISTA, N. 15, RUA G ;72.686,62;201.000,00;63.84;Casa, 0.00 de área total, 98.00 de área privativa, 500.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409862615
 1444414820951 ;RJ ;ARARUAMA ;VILA CANAA ;RUA B, N. 16, . ;89.321,36;228.000,00;60.83;Casa, 0.00 de área total, 70.00 de área privativa, 128.42 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444414820951
 1444409945113 ;RJ ;ARARUAMA ;PONTE DOS LEITES ;RODOVIA AMARAL PEIXOTO ANTIGA RUA SEM DENOMINACAO, N. 82784, Apto 202, LT 02, QD C ;97.036,03;230.000,00;57.82;Apartamento, 0.00 de área total, 75.08 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444409945113
 1555503904133 ;RJ ;ARARUAMA ;HOSPICIO ;ESTRADA DO ENJEITADO, N. SN, QD 0, LT 20 ;141.712,42;309.449,92;54.21;Casa, 0.00 de área total, 184.38 de área privativa, 392.00 de área do terreno,  1 qto(s), 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555503904133
 8444404425055 ;RJ ;ARARUAMA ;CENTRO (SAO VICENTE) ;ESTRADA RJ-138, N. SN, Apto 31, CS 31, ESTRADA DE SÃO VICENTE ;61.886,51;128.000,00;51.66;Casa, 0.00 de área total, 58.46 de área privativa, 190.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404425055
 8444413568670 ;RJ ;ARARUAMA ;ITATIQUARA ;RUA WALDOMIRO MAXIMO CARVALHO, N. 106, CS 01, LT 510, QD 34 ;83.940,76;164.000,00;48.82;Casa, 0.00 de área total, 52.01 de área privativa, 115.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413568670
 1444419919328 ;RJ ;ARARUAMA ;ITATIQUARA ;ESTRADA DE BOA VISTA, N. 777, UNIDADE 68 ;54.280,15;103.000,00;47.31;Terreno, 0.00 de área total, 0.00 de área privativa, 500.64 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419919328
 8444402030398 ;RJ ;ARARUAMA ;MONTEIRO ;ESTRADA SAO DE VICENTE, N. SN, CS 19 ;117.561,64;220.000,00;46.57;Casa, 0.00 de área total, 49.23 de área privativa, 58.46 de área do terreno,  2 qto(s), 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402030398
 1444407595930 ;RJ ;ARARUAMA ;CENTRO (MORRO GRANDE) ;R REX, N. 100, QD17-A, LT375 ;180.931,14;335.000,00;46.00;Casa, 0.00 de área total, 134.40 de área privativa, 800.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444407595930
 1444410628797 ;RJ ;ARARUAMA ;BANANEIRAS (IGUABINHA) ;RUA DO CONTORNO, N. 276, CS 104 QD 38 LT 14 ;77.985,99;140.000,00;44.30;Casa, 0.00 de área total, 63.19 de área privativa, 750.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444410628797
 8444403497923 ;RJ ;ARARUAMA ;MONTEIRO (SAO VICENTE) ; RUA DE CIRCULACAO INTERNA, N. 81, CS 08 ;76.464,05;132.000,00;42.08;Casa, 58.46 de área total, 58.46 de área privativa, 190.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444403497923
 1555519715238 ;RJ ;ARARUAMA ;PARATY ;RUA AIMBERE, N. 444, QD 26 LT 08 ;303.620,49;510.000,00;40.47;Casa, 0.00 de área total, 476.59 de área privativa, 576.00 de área do terreno,  4 qto(s), a.serv, WC, WC Emp, 2 sala(s), cozinha, Terraco, 3 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555519715238
 8555508868419 ;RJ ;ARARUAMA ;VILA CANAA ;RUA ALICE LEOCADIA DE SOUZA, N. 741, ;78.556,78;130.000,00;39.58;Casa, 69.67 de área total, 69.67 de área privativa, 450.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555508868419
 8444404195882 ;RJ ;ARARUAMA ;SAO VICENTE ;ESTRADA DE SAO VICENTE, N. SN, Apto 12, ;85.333,62;140.000,00;39.05;Apartamento, 0.00 de área total, 190.00 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404195882
 8444410169774 ;RJ ;ARARUAMA ;Jacaré ;RUA JAGUARI, N. 65, QD 03 LT 65 ;92.181,39;151.000,00;38.96;Casa, 66.00 de área total, 66.00 de área privativa, 128.00 de área do terreno,  2 qto(s), a.serv, WC, WC Emp, 1 sala(s), DCE, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410169774
 10206610 ;RJ ;ARARUAMA ;AREAL ;RUA ANDRADAS (ANTIGA RUA D), N. 00, QD 01, LT 18 ;201.497,77;330.000,00;38.95;Terreno, 0.00 de área total, 0.00 de área privativa, 1000.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10206610
 8444432735551 ;RJ ;ARARUAMA ;PRACA DA BANDEIRA ;RUA BERLIM, N. 360, CS 02 LT 11 QD H AREA B ;197.774,35;323.000,00;38.77;Casa, 79.62 de área total, 79.62 de área privativa, 496.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444432735551
 10221028 ;RJ ;ARARUAMA ;PONTE DOS LEITES ;RUA CARDOSO MOREIRA, N. 205, CS4, QD B, LT 04, LOT. MOINHO DOS VENT ;125.616,09;199.573,30;37.06;Casa, 0.00 de área total, 64.00 de área privativa, 557.50 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10221028
 1444402383764 ;RJ ;ARARUAMA ;HOSPICIO ;RUA SEM DENOMINAÇÃO, N. SN,  CS 102 LT 4B ;129.661,20;206.000,00;37.06;Casa, 81.57 de área total, 81.57 de área privativa, 1593.52 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444402383764
