
 Lista de Imóveis da Caixa;;Data de geração:;29/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 10203835 ;SC ;AGROLANDIA ;CENTRO ;RUA RICARDO HOBUS, N. 00, LT 01-E ;201.497,77;330.000,00;38.95;Terreno, 0.00 de área total, 0.00 de área privativa, 2018.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10203835
 10203836 ;SC ;AGROLANDIA ;CENTRO ;RUA RICARDO HOBUS, N. 00, LT 01-D ;274.769,69;450.000,00;38.95;Terreno, 0.00 de área total, 0.00 de área privativa, 2000.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10203836
 8444420114506 ;SC ;ARAQUARI ;ITINGA ; R OSWALDO BARBOSA FERREIRA, N. 54, Apto 101-, BL A ;117.709,53;205.000,00;42.59;Apartamento, 0.00 de área total, 49.46 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444420114506
 8444416200800 ;SC ;ARAQUARI ;ITINGA ; SAO BENTO DO SUL, N. 668, CS 004 ;134.950,42;229.000,00;41.07;Casa, 45.51 de área total, 44.46 de área privativa, 81.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416200800
 8787711188177 ;SC ;ARAQUARI ;Porto Grande ; RUA JOSE JULHO MOREIRA, N. 3900, CS 02 ;183.691,35;300.000,00;38.77;Casa, 50.88 de área total, 50.01 de área privativa, 69.90 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711188177
 8555517977500 ;SC ;ARARANGUA ;LAGOAO ;RUA CARLOS CARDOSO, N. 1406, LT 13 QD P ANTIGA RUA F ;125.235,45;228.000,00;45.08;Casa, 0.00 de área total, 76.00 de área privativa, 298.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555517977500
 1444422980032 ;SC ;ARARANGUA ;URUSSANGUINHA ;RUA ALBINO PEREIRA DE SOUZA, N. 107, ;522.799,62;576.000,00;9.24;Casa, 123.71 de área total, 123.71 de área privativa, 432.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444422980032
 8444408681137 ;SC ;ARARANGUA ;MORRO DOS CONVENTOS ;R JOSE JOAO DE MEDEIROS, N. 120, ;190.000,00;190.000,00;0.00;Casa, 69.35 de área total, 58.02 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408681137
 8444426080310 ;SC ;ARARANGUA ;CAVERAZINHO ; RUA B, N. 247, ;250.000,00;250.000,00;0.00;Casa, 47.00 de área total, 47.00 de área privativa, 312.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426080310
 8444427292280 ;SC ;ARARANGUA ;INDUSTRIAL ;RUA ANTONINA PEREIRA DE SOUZA, N. SN, LT 02  QD F ;195.500,00;195.500,00;0.00;Casa, 0.00 de área total, 49.50 de área privativa, 300.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427292280
 8444429307781 ;SC ;ARARANGUA ;CAVERAZINHO ;RUA 05, N. SN, LT 04 QD D ;176.444,78;105.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 300.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429307781
 10282055 ;SC ;BALNEARIO CAMBORIU ;CENTRO ;RUA 1451, N. 158, Apto 901 ;2.047.000,00;2.047.000,00;0.00;Apartamento, 0.00 de área total, 107.64 de área privativa, 0.00 de área do terreno, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10282055
 8444404162933 ;SC ;BALNEARIO RINCAO ;PRAIA DO RINCAO ; AVENIDA OLINDINA FELISBINA ROCHA, N. SN, QD 91, LT 23 ;143.219,88;125.000,00;0.00;Casa, 86.13 de área total, 86.13 de área privativa, 288.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404162933
 8444413601162 ;SC ;BARRA VELHA ;JARDIM BELA VISTA ; RUA 1336, N. 273, LT 39 QD 03 ;342.000,00;342.000,00;0.00;Casa, 143.00 de área total, 143.00 de área privativa, 334.60 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413601162
 8555530365386 ;SC ;BARRA VELHA ;SÃO CRISTÓVÃO ; RUA FRANCISCO DE PAULA ANTUNES CORREA, N. 30, Apto 304, BL 02 ;260.000,00;256.000,00;0.00;Apartamento, 59.24 de área total, 49.35 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555530365386
 8555518893009 ;SC ;BIGUACU ;BOM VIVER ;RUA AMARO DAMASIO, N. 110, Apto 23, BL 02 VG 47 2º PAVIMENTO ;99.858,87;177.000,00;43.59;Apartamento, 46.87 de área total, 41.65 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555518893009
 8555514555176 ;SC ;BIGUACU ;BOM VIVER ;RUA AMARO DAMASIO, N. 110, Apto 43, BL 10 ;141.000,00;141.000,00;0.00;Apartamento, 0.00 de área total, 41.65 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555514555176
 8555517881783 ;SC ;BIGUACU ;FUNDOS ;RUA HOMERO DE MIRANDA GOMES, N. 829, Apto 202, BL 03 ;217.000,00;217.000,00;0.00;Apartamento, 0.00 de área total, 45.61 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555517881783
 1444421543097 ;SC ;BLUMENAU ;ITOUPAVAZINHA ;RUA ERWIN STEIN, N. 161, CASA 04 ;234.000,00;390.000,00;40.00;Casa, 75.20 de área total, 74.07 de área privativa, 124.51 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444421543097
 8787708808038 ;SC ;BLUMENAU ;ITOUPAVA CENTRAL ;RUA RUDOLFO WALTER, N. 1445, Apto 202, BL 01 SUBCOND BRUNNEN VG 06 ;132.600,00;221.000,00;40.00;Apartamento, 58.83 de área total, 38.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708808038
 8787708867972 ;SC ;BLUMENAU ;ITOUPAVA CENTRAL ;RUA RUDOLFO WALTER, N. 1445, Apto 201, BL.11 ;135.993,04;225.000,00;39.56;Apartamento, 0.00 de área total, 47.79 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708867972
 8787715013878 ;SC ;BLUMENAU ;ITOUPAVA CENTRAL ;RUA RUDOLFO WALTER, N. 1449, Apto 304, BL 24 VG 404 ;126.926,84;210.000,00;39.56;Apartamento, 59.38 de área total, 38.40 de área privativa, 0.00 de área do terreno, a.serv, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715013878
