
 Lista de Imóveis da Caixa;;Data de geração:;30/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1555507896020 ;MS ;AQUIDAUANA ;Guanandy ;R MANOEL A. P. DE BARROS, N. 1831, LT 12 QD 83 ;229.433,15;360.000,00;36.27;Casa, 0.00 de área total, 246.01 de área privativa, 936.25 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555507896020
 8444405135859 ;MS ;AQUIDAUANA ;PINHEIRO ; RUA JAIME ARTIGAS, N. 398, LT 07, QD 538 DA PCC ;178.000,00;178.000,00;0.00;Casa, 70.25 de área total, 70.25 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405135859
 8444408127830 ;MS ;AQUIDAUANA ;CAMPELO ; RUA BERNADINO LOPES, N. 05, CS A ;175.000,00;175.000,00;0.00;Casa, 62.84 de área total, 62.84 de área privativa, 186.56 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408127830
 8444414936109 ;MS ;AQUIDAUANA ;CENTRO ; RUA CARLOS CAMISAO, N. 1017, LT 10 QD 504 ;300.000,00;300.000,00;0.00;Casa, 120.00 de área total, 120.00 de área privativa, 200.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414936109
 1444419336764 ;MS ;BATAGUASSU ;RES MODELO III ; RUA PROF LAIR ALVES LIMA DE MORAES, N. 182, LT 02 QD H ANTIGA RUA G ;396.409,49;622.000,00;36.27;Casa, 239.40 de área total, 239.40 de área privativa, 414.02 de área do terreno,  3 qto(s), a.serv, WC, 3 sala(s), 1 lavabo(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419336764
 8444400777429 ;MS ;BATAYPORA ;CENTRO ;RUA ANTONIO NUNES DA COSTA, N. 1502, LT 14-A QD 40 ;145.000,00;145.000,00;0.00;Casa, 0.00 de área total, 75.36 de área privativa, 210.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444400777429
 10170149 ;MS ;CAMPO GRANDE ;AMAMBAI ;AVENIDA AFONSO PENA(ATUAL AV MARECHAL MALLET), N. S/N, QD 377, LT 20, ESQUINA RUA DO BANANAL ;40.884,28;80.000,00;48.90;Terreno, 0.00 de área total, 0.00 de área privativa, 360.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10170149
 1444419439695 ;MS ;CAMPO GRANDE ;PANORAMA ;RUA LAGOA RICA, N. 566, LT 03 ;213.312,86;411.000,00;48.10;Casa, 0.00 de área total, 119.99 de área privativa, 200.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419439695
 8555511338530 ;MS ;CAMPO GRANDE ;Varanda do Campo ;RUA JOSÉ PEDROSSIAN, N. 1227, Apto 04, BL 22, QD 03, LT 01 ;59.257,55;114.000,00;48.02;Apartamento, 0.00 de área total, 42.91 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555511338530
 8444419789716 ;MS ;CAMPO GRANDE ;NOVA LIMA ;TRAVESSA MACUIM, N. 62, CS 01, LT 03, QD 52 ;88.984,56;170.000,00;47.66;Casa, 0.00 de área total, 53.79 de área privativa, 119.30 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444419789716
 8444416509860 ;MS ;CAMPO GRANDE ;JARDIM CENTRO OESTE ;RUA LEVI PEREIRA, N. 550, CASA 07 ;108.945,53;206.000,00;47.12;Casa, 0.00 de área total, 58.84 de área privativa, 0.01 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416509860
 8444414273460 ;MS ;CAMPO GRANDE ;RIVIERA PARK ;RUA JORNALISTA JOSE FILINTO DA SILVA, N. 375, CS 02 ;91.733,64;172.000,00;46.67;Casa, 0.00 de área total, 59.00 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414273460
 8555530697931 ;MS ;CAMPO GRANDE ;PIONEIROS ;AVENIDA SENADOR ANTONIO MENDES CANALE, N. 725, Apto 304, BL 14 LT 1C VG 288 ;125.113,59;230.000,00;45.61;Apartamento, 0.00 de área total, 46.18 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555530697931
 10198061 ;MS ;CAMPO GRANDE ;VILA SANTA LUZIA ;RUA ABRAAO BACACH, N. SN, LT A4 CA ;2.335.542,32;4.250.000,00;45.05;Terreno, 0.00 de área total, 0.00 de área privativa, 22892.98 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10198061
 1444416527216 ;MS ;CAMPO GRANDE ;JARDIM CENTENARIO ;RUA ITAITUBA, N. 258, Apto 103, BL E ;61.790,75;112.000,00;44.83;Apartamento, 48.14 de área total, 44.98 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444416527216
 1444419521464 ;MS ;CAMPO GRANDE ;JARDIM SAO CONRADO ;AVENIDA GENERAL ALBERTO CARLOS MENDONCA, N. 2398, Apto 104, BL I,  LT 12-A, QD 119 ;88.935,03;160.000,00;44.42;Apartamento, 0.00 de área total, 51.22 de área privativa, 544.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419521464
 10208912 ;MS ;CAMPO GRANDE ;SANTA FE ;RUA FREDERICO SOARES, N. 499, QD 12, LT 12 ;887.778,82;1.592.000,00;44.24;Casa, 0.00 de área total, 230.01 de área privativa, 360.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10208912
 1444417850630 ;MS ;CAMPO GRANDE ;CONJUNTO AERO RANCHO ;TRAVESSA ROSALINA MACIEL MENEZES, N. 59, 1157 ;255.961,35;459.000,00;44.24;Casa, 0.00 de área total, 184.56 de área privativa, 200.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444417850630
 8444414513453 ;MS ;CAMPO GRANDE ;PARQUE DO LAGEADO ;RUA LEOPOLDINA DE QUEIROZ MAIA, N. 1000, CS 01, LT 02, QD 56 ;92.889,20;165.000,00;43.71;Casa, 45.26 de área total, 45.26 de área privativa, 139.31 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414513453
 1444417346479 ;MS ;CAMPO GRANDE ;CONJUNTO RESIDENCIAL BOTAFOGO ;TRAVESSA IRACEMA DE OLIVEIRA, N. 74, Apto 02, ;84.207,30;149.122,00;43.54;Apartamento, 0.00 de área total, 40.26 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444417346479
 8555510158415 ;MS ;CAMPO GRANDE ;VARANDAS DO CAMPO ;RUA ARTUR NOGUEIRA, N. 110, Apto 02,  BL 07 ;75.117,23;133.000,00;43.53;Apartamento, 47.61 de área total, 42.91 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555510158415
