
 Lista de Imóveis da Caixa;;Data de geração:;30/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444416595368 ;MT ;ACORIZAL ;SALGADO ;AVENIDA SAMAMBAIA, N. 19, . ;99.190,83;202.000,00;50.90;Casa, 0.00 de área total, 76.13 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416595368
 8444426339305 ;MT ;ACORIZAL ;CENTRO ; RUA AQUINO MONTEIRO, N. 11, QD 11 LT 6-A ;75.817,45;140.000,00;45.85;Casa, 62.35 de área total, 62.35 de área privativa, 259.93 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426339305
 8444416380132 ;MT ;ACORIZAL ;BAIRRO SALGADO ; RUA SAMAMBAIA, N. 3, LT 03 ;94.281,79;172.000,00;45.19;Casa, 74.90 de área total, 74.90 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416380132
 8444428941690 ;MT ;ACORIZAL ;BAIRRO SALGADO ; AVENIDA DAS SAMAMBAIAS, N. 05, SETOR 001 QD 006, LO 005 ;80.647,53;145.000,00;44.39;Casa, 66.58 de área total, 66.58 de área privativa, 281.23 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428941690
 8444429771500 ;MT ;ACORIZAL ;SALGADO ; AVENIDA  SAMAMBAIA, N. 06, ST 04, QD 6, LT 06 ;87.819,45;150.000,00;41.46;Casa, 56.84 de área total, 56.84 de área privativa, 290.17 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429771500
 1444419887574 ;MT ;ACORIZAL ;Cidade Alta ;RUA LAURINDO MACHADO, N. SN, LT 06 QD 06 ;108.080,77;175.000,00;38.24;Casa, 0.00 de área total, 61.27 de área privativa, 217.76 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419887574
 1444416372662 ;MT ;ACORIZAL ;NOVA ACORIZAL ; RUA 1, N. 28, QUADRA 46 LOTE 03 SETOR 11 ;286.791,44;450.000,00;36.27;Casa, 173.88 de área total, 173.88 de área privativa, 450.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444416372662
 8444410124860 ;MT ;ACORIZAL ;Candonga ; AV ANTONIO HERMENEGILDO, N. SN, ;108.518,00;105.000,00;0.00;Casa, 35.00 de área total, 69.00 de área privativa, 312.50 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410124860
 8444403155089 ;MT ;ALTA FLORESTA ;Res Universitário ; RUA 04, N. SN, LT 13 QD 10 ;279.000,00;279.000,00;0.00;Casa, 80.71 de área total, 80.71 de área privativa, 360.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444403155089
 10278706 ;MT ;ALTA FLORESTA ;SETOR C ;AVENIDA JAIME VERISSIMO DE CAMPOS, N. S/N, Apto 42, AP 42,LT LE-20C ;2.246.008,74;1.720.000,00;0.00;Apartamento, 0.00 de área total, 184.56 de área privativa, 0.00 de área do terreno, 3 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10278706
 1444418360262 ;MT ;ALTO ARAGUAIA ;JD AEROPORTO III ;RUA 28, N. SN, LT 07 QD 11 ;108.487,49;200.000,00;45.76;Casa, 0.00 de área total, 164.39 de área privativa, 260.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418360262
 10215016 ;MT ;ALTO ARAGUAIA ;AEROPORTO ;AVENIDA VEREADOR JOÃO FERREIRA NEVES, N. 00, QD 174, LT 007/B ;210.313,72;330.000,00;36.27;Terreno, 0.00 de área total, 0.00 de área privativa, 1824.71 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10215016
 8555514348910 ;MT ;ALTO TAQUARI ;Parque Taquari ;RUA DELFINO BATISTA, N. 1507, QD 09, LT 16 ;96.765,41;180.000,00;46.25;Casa, 0.00 de área total, 46.50 de área privativa, 300.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555514348910
 1444421104492 ;MT ;ARENAPOLIS ;BELA VISTA ;RUA SAO JUDAS TADEU, N. SN, LT 08 QD 26 ;606.935,70;1.136.000,00;46.58;Casa, 0.00 de área total, 292.00 de área privativa, 360.00 de área do terreno,  3 qto(s), WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444421104492
 8444428713522 ;MT ;ARENAPOLIS ;CENTRO ;RUA MATO GROSSO, N. 7, LT 561, QD 31 ;313.619,06;587.000,00;46.58;Casa, 0.00 de área total, 259.00 de área privativa, 283.72 de área do terreno,  5 qto(s), WC, 3 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428713522
 8444402247834 ;MT ;ARENAPOLIS ;Vila Nova ;RUA PRESIDENTE VARGAS, N. SN, LT 13, QD 96 ;231.153,89;272.000,00;15.02;Casa, 0.00 de área total, 164.17 de área privativa, 364.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402247834
 1444417078210 ;MT ;BARRA DO BUGRES ;JARDIM ORIENTE ;RUA PROJETADA, N. SN, LT 1-AX2-38 ;169.698,32;54.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 353.14 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444417078210
 8444421853272 ;MT ;BARRA DO GARCAS ;JARDIM NOVA BARRA DO GARCAS ;RUA DOM PEDRO I, N. 1171, LT 21 QD 30 ;118.211,88;163.890,00;27.88;Casa, 54.00 de área total, 54.00 de área privativa, 225.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421853272
 8444422556891 ;MT ;BARRA DO GARCAS ;JARDIM PARAISO ; RUA DAS PALMAS, N. 12-A, 12-A  QD 19 ;183.000,00;183.000,00;0.00;Casa, 63.50 de área total, 63.50 de área privativa, 225.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422556891
 1444409299599 ;MT ;BARRA DO GARCAS ;ANCHIETA ;RUA NOVE, N. SN, LT 7A QD 24 ;242.900,00;242.900,00;0.00;Casa, 92.60 de área total, 92.60 de área privativa, 245.55 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444409299599
 8087008008042 ;MT ;CACERES ;VILA MARIANA ;RUA CONGO, N. 17, LT 17, QD 02 ;260.000,00;260.000,00;0.00;Casa, 72.00 de área total, 76.00 de área privativa, 257.50 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8087008008042
 8787702910841 ;MT ;CACERES ;SANTOS DUMONT ;RUA 09 LOTE, N. 12, QD 05 ;175.000,00;175.000,00;0.00;Casa, 45.40 de área total, 45.40 de área privativa, 200.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702910841
