
 Lista de Imóveis da Caixa;;Data de geração:;30/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444402154143 ;SE ;ARACAJU ;CENTRO ;RUA SAO CRISTOVAO, N. 461, Apto 410, ED FUTURO ;76.957,50;137.679,39;44.11;Apartamento, 0.00 de área total, 42.84 de área privativa, 0.00 de área do terreno,  1 qto(s), varanda, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402154143
 1444400933651 ;SE ;ARACAJU ;JABOTIANA ;TRAVESSA GOVERNADOR MANOEL DANTAS, N. 44, ;141.201,09;250.000,00;43.52;Casa, 0.00 de área total, 184.48 de área privativa, 130.16 de área do terreno,  8 qto(s), varanda, WC, WC Emp, 2 sala(s), 1 lavabo(s), DCE, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444400933651
 8444428532064 ;SE ;ARACAJU ;PONTO NOVO ;RUA ISAIAS AMANCIO DE JESUS, N. 103, Apto 03, ;74.726,23;129.000,00;42.08;Apartamento, 84.38 de área total, 58.62 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428532064
 8444429086092 ;SE ;ARACAJU ;PONTO NOVO ;RUA ISAIAS AMANCIO DE JESUS, N. 103, Apto 03, TERREO ;81.964,82;140.000,00;41.46;Apartamento, 53.90 de área total, 53.90 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429086092
 8444419075411 ;SE ;ARACAJU ;SIQUEIRA CAMPOS ;RUA DISTRITO FEDERAL, N. 1570, CASA A ;105.912,98;171.490,00;38.24;Casa, 132.96 de área total, 126.33 de área privativa, 137.00 de área do terreno,  2 qto(s), a.serv, WC, WC Emp, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444419075411
 1444407630980 ;SE ;ARACAJU ;SANTOS DUMONT ; RUA ALMIRANTE JAIME PAULO, N. 158, ;125.255,24;199.000,00;37.06;Casa, 125.09 de área total, 125.09 de área privativa, 156.76 de área do terreno,  3 qto(s), a.serv, WC, WC Emp, 2 sala(s), DCE, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444407630980
 1217500006850 ;SE ;ARACAJU ;CASTELO BRANCO ;RUA DOM PEDRO I, N. 178, ;291.252,64;457.000,00;36.27;Casa, 230.00 de área total, 230.00 de área privativa, 230.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1217500006850
 1444415542629 ;SE ;ARACAJU ;JOSE CONRADO DE ARAUJO ;RUA REVERENDO ALFEU BARRA DE OLIVEIRA, N. 62, ;248.552,58;390.000,00;36.27;Casa, 337.56 de área total, 337.56 de área privativa, 180.00 de área do terreno,  4 qto(s), a.serv, WC, cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444415542629
 1555517338380 ;SE ;ARACAJU ;JOSE CONRADO DE ARAUJO ;RUA JOSE DE OLIVEIRA, N. 828, ;203.940,58;320.000,00;36.27;Casa, 153.00 de área total, 153.00 de área privativa, 180.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555517338380
 1444407222459 ;SE ;ARACAJU ;SANTOS DUMONT ;RUA MAJOR CORBINIANO, N. 221, QD II LT 23 ;159.328,58;250.000,00;36.27;Casa, 120.00 de área total, 120.00 de área privativa, 210.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444407222459
 8444412487064 ;SE ;ARACAJU ;ARACAJU ;BECO DO ENGENHO NOVO, N. 42, Apto 402, BLOCO 01 ;140.000,00;140.000,00;0.00;Apartamento, 72.27 de área total, 51.45 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444412487064
 8555520316455 ;SE ;ARACAJU ;JABOTIANA ; RUA D, N. 306, Apto 203, ED AMENDOEIRA ;180.000,00;180.000,00;0.00;Apartamento, 53.56 de área total, 48.95 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555520316455
 1555507196532 ;SE ;ARACAJU ;MOSQUEIRO ; RUA PERIMETRAL A SUL, N. 555, Apto 502, ;950.000,00;950.000,00;0.00;Apartamento, 158.67 de área total, 158.67 de área privativa, 0.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, WC Emp, 2 sala(s), 1 lavabo(s), DCE, cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555507196532
 1555524975668 ;SE ;ARACAJU ;INDUSTRIAL ;AVENIDA JOSE CONRADO DE ARAUJO, N. 320, Apto 06, BL 05 ;210.000,00;210.000,00;0.00;Apartamento, 61.40 de área total, 61.40 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555524975668
 10277903 ;SE ;ARACAJU ;ATALAIA ;AVENIDA LIONS CLUB, N. 324, TERRENO DE MARINHA ;1.200.000,00;1.200.000,00;0.00;Casa, 0.00 de área total, 391.20 de área privativa, 864.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10277903
 1444404487133 ;SE ;ARACAJU ;SAO JOSE ;PRACA CAMERINO, N. 161, Apto 101, ;200.000,00;200.000,00;0.00;Apartamento, 0.00 de área total, 36.75 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444404487133
 1444417592054 ;SE ;ARACAJU ;PONTO NOVO ;RUA ISAIAS AMANCIO DE JESUS, N. 103, Apto 04, ;153.000,00;153.000,00;0.00;Apartamento, 0.00 de área total, 53.90 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444417592054
 8444427130078 ;SE ;ARACAJU ;PORTO D'ANTAS ;AVENIDA LAURO DE BRITTO PORTO, N. 344, Apto 105, BL 02 ;154.000,00;154.000,00;0.00;Apartamento, 52.70 de área total, 52.70 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427130078
 1555519940487 ;SE ;ARACAJU ;JARDINS ;RUA MARCONDE FERRAZ, N. 50, Apto 402, VGS 123 - 124 ;615.000,00;615.000,00;0.00;Apartamento, 195.06 de área total, 170.74 de área privativa, 0.00 de área do terreno,  4 qto(s), varanda, a.serv, WC, WC Emp, 1 sala(s), DCE, cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555519940487
 8555521170411 ;SE ;ARACAJU ;ARUANA ;AVENIDA DO CANAL, N. 1700, Apto 401, EDF ALGAS ;240.000,00;240.000,00;0.00;Apartamento, 85.16 de área total, 66.29 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555521170411
 10277177 ;SE ;ARACAJU ;LUZIA ;RUA ENGENHEIRO ANTONIO GONCALVES SOARES, N. 410, Apto 1001, BL A, AP 1001 ;400.000,00;390.000,00;0.00;Apartamento, 0.00 de área total, 99.06 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10277177
 1555513271770 ;SE ;ARACAJU ;INDUSTRIAL ;AVENIDA CONFIANCA, N. 233, ;190.000,00;165.000,00;0.00;Casa, 120.50 de área total, 102.50 de área privativa, 125.50 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555513271770
