
 Lista de Imóveis da Caixa;;Data de geração:;13/02/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 10005120 ;AC ;CRUZEIRO DO SUL ;BAIRRO COHAB ;RUA DO PURUS, N. S/N, QUARTEIRÃO 272, LOTE 10 ;71.534,67;150.000,00;52.32;Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10005120
 10005121 ;AC ;CRUZEIRO DO SUL ;BAIRRO COHAB ;RUA DO PURUS, N. S/N, QUARTEIRÃO 272 LOTE 11 ;71.534,67;150.000,00;52.32;Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10005121
 10005122 ;AC ;CRUZEIRO DO SUL ;BAIRRO COHAB ;RUA DO PURUS, N. S/N, QUARTEIRÃO 272 LOTE 12 ;71.534,67;150.000,00;52.32;Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10005122
 1444416896521 ;AC ;CRUZEIRO DO SUL ;JARDIM PRIMAVERA ;RUA PROJETADA, N. SN, LT 21 QD 04 TIPO AC-3 ;254.848,88;477.000,00;46.58;Casa, 0.00 de área total, 98.60 de área privativa, 300.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444416896521
 1444420699441 ;AC ;CRUZEIRO DO SUL ;CENTRO ; AVENIDA 17 DE NOVEMBRO, N. SN, QD 27 LT 18 ;282.728,55;507.000,00;44.24;Casa, 0.00 de área total, 240.00 de área privativa, 300.00 de área do terreno,  3 qto(s), WC, 3 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444420699441
 1444415405230 ;AC ;CRUZEIRO DO SUL ;Bairro AABB ; AVENIDA VITORIA REGIA, N. 0, Apto ., 1027 ;147.917,67;255.000,00;42.00;Casa, 0.00 de área total, 131.20 de área privativa, 257.72 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444415405230
 8444433039915 ;AC ;CRUZEIRO DO SUL ;CRUZEIRÃO ; RUA MATO GROSSO, N. SN, SETOR 04 B QD 243 B LT 07 ;126.322,42;209.000,00;39.56;Casa, 115.50 de área total, 115.50 de área privativa, 250.00 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444433039915
 8444411200837 ;AC ;CRUZEIRO DO SUL ;TELEGRAFO ; RUA SERGIPE, N. 791, SETOR 03 B QD 295 LT 16 ;119.590,43;190.000,00;37.06;Casa, 111.70 de área total, 111.70 de área privativa, 300.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444411200837
 1555509099755 ;AC ;PLACIDO DE CASTRO ;CENTRO ;RUA EPITACIO PESSOA, N. SN, RUA PROJETADA ;885.000,00;885.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 1800.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555509099755
 8444400929075 ;AC ;PORTO ACRE ;CORONEL JOSE CANDIDO ; RUA LUIZ GALVEZ, N. SN,  QD 46 LT 05 ;77.136,71;138.000,00;44.11;Casa, 0.00 de área total, 258.00 de área privativa, 580.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444400929075
 1444400380830 ;AC ;RIO BRANCO ;VILA IVONETE ;RUA CAMPINA GRANDE, N. 56,  LT 02, QD A ;339.561,06;592.000,00;42.65;Casa, 0.00 de área total, 83.99 de área privativa, 450.00 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444400380830
 8444404046011 ;AC ;RIO BRANCO ;SANTA QUITERIA ;RUA BOTAFOGO, N. 421, ;77.043,32;133.000,00;42.08;Casa, 70.00 de área total, 242.57 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404046011
 10151420 ;AC ;RIO BRANCO ;FLORESTA SUL ;ESTRADA DA FLORESTA ;5.386.916,55;9.226.000,00;41.62;Gleba, 0.00 de área total, 0.00 de área privativa, 49338.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10151420
 8555510525310 ;AC ;RIO BRANCO ;ALTO ALEGRE ;ESTRADA DE PORTO ACRE, ROD AC-010, N. 2095, CS 09 QD 04 ;112.420,91;186.000,00;39.56;Casa, 175.38 de área total, 37.52 de área privativa, 137.88 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555510525310
 8444402235844 ;AC ;RIO BRANCO ;Novo Calafate ;TRAVESSA BOM JESUS, N. 73, 0, ;120.219,85;191.000,00;37.06;Casa, 63.50 de área total, 63.50 de área privativa, 261.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402235844
 1444409580107 ;AC ;RIO BRANCO ;TANCREDO NEVES ; RUA JORGE AMADO, N. 25, LT 02, QD 25 ;131.549,47;209.000,00;37.06;Casa, 67.44 de área total, 67.44 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444409580107
 1444406204040 ;AC ;RIO BRANCO ;CONJUNTO ADALBERTO SENA ;RUA CASTANHEIRA, N. SN, LT 11, QD 13 ;132.178,89;210.000,00;37.06;Casa, 70.00 de área total, 70.00 de área privativa, 250.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406204040
 1444403168387 ;AC ;RIO BRANCO ;Santo Afonso I ;R RAIMUNDO P DE MORAES, N. 14, LT 14 QD 55 ;216.686,86;340.000,00;36.27;Casa, 0.00 de área total, 138.20 de área privativa, 400.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444403168387
 1444406697321 ;AC ;RIO BRANCO ;LOT NOVA ESPERANÇA ;RUA BENZINHO, N. SN, QD 06, LT 38 ;200.116,69;314.000,00;36.27;Casa, 144.00 de área total, 144.00 de área privativa, 200.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406697321
 1444408125473 ;AC ;RIO BRANCO ;Floresta ;R GOV ARTHUR REIS, N. 446, CS27 QD03 ;198.204,75;311.000,00;36.27;Casa, 0.00 de área total, 144.00 de área privativa, 300.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444408125473
 1444409370650 ;AC ;RIO BRANCO ;LOT SANTO AFONSO I ;RUA NONATO CORREIA LIMA, N. SN, QD40 LT16 ;265.760,06;417.000,00;36.27;Casa, 129.42 de área total, 129.42 de área privativa, 312.50 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444409370650
 1600000161288 ;AC ;RIO BRANCO ;ESTACAO EXPERIMENTAL ; RUA BOA VISTA, N. SN, ;558.287,33;876.000,00;36.27;Casa, 310.94 de área total, 173.15 de área privativa, 630.00 de área do terreno,  4 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1600000161288
 1444405129400 ;AC ;RIO BRANCO ;NOVO HORIZONTE ;RUA ADEMAR DE BARROS, N. 74, ;240.904,81;378.000,00;36.27;Casa, 182.84 de área total, 182.84 de área privativa, 440.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444405129400
