
 Lista de Imóveis da Caixa;;Data de geração:;13/02/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1444401631519 ;BA ;ALAGOINHAS ;SILVA JARDIM ;RUA  PROFESSOR GUIOMAR  FLORENCE, N. 720, ;107.056,05;203.000,00;47.27;Casa, 0.00 de área total, 85.05 de área privativa, 102.87 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444401631519
 8555539193855 ;BA ;ALAGOINHAS ;CATU ;RUA CONSELHEIRO JUNQUEIRA, N. SN, Apto 303, BL 23 ;75.305,50;130.000,00;42.08;Apartamento, 43.65 de área total, 43.65 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555539193855
 1444419179413 ;BA ;ALAGOINHAS ;CATU ;RUA CONSELHEIRO JUNQUEIRA, N. S/N, LT 02 ;130.920,05;208.000,00;37.06;Terreno, 0.00 de área total, 0.00 de área privativa, 233.14 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419179413
 1444405540550 ;BA ;ALAGOINHAS ;JARDIM PETROLAR ;RUA A, N. SN, Apto 203, LT 02 QD D ;165.064,40;259.000,00;36.27;Apartamento, 0.00 de área total, 74.63 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444405540550
 1444406192505 ;BA ;ALAGOINHAS ;LOT PORTO FELIZ ; RUA G, N. 189, ;137.000,00;137.000,00;0.00;Casa, 0.00 de área total, 40.05 de área privativa, 200.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406192505
 8555536004121 ;BA ;ALAGOINHAS ;ALAGOINHAS ;RUA CONSELHEIRO JUNQUEIRA, N. SN, Apto 304, BL 31 ;140.000,00;140.000,00;0.00;Apartamento, 43.51 de área total, 43.52 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555536004121
 1555524214748 ;BA ;ALAGOINHAS ;ALAGOINHAS VELHA ;AVENIDA AYRTON SENNA, N. SN, Apto 302, BL 18 ;172.000,00;172.000,00;0.00;Apartamento, 43.12 de área total, 43.12 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555524214748
 8787704094251 ;BA ;ALAGOINHAS ;CATU ;RUA CONSELHEIRO JUNQUEIRA, N. SN, Apto 004, BL19, TIPO A ;140.000,00;140.000,00;0.00;Apartamento, 43.52 de área total, 43.52 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787704094251
 8444431950637 ;BA ;ALAGOINHAS ;CENTRO ;RUA SAO JOSE, N. S/N, CS 581 QD 17 LT 09 ;116.229,76;115.000,00;0.00;Casa, 38.82 de área total, 38.82 de área privativa, 153.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444431950637
 1555529342515 ;BA ;ALAGOINHAS ;BARREIRO ;RUA DOS EUCALIPTOS, N. 273, ;189.533,34;177.000,00;0.00;Casa, 66.00 de área total, 66.00 de área privativa, 195.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555529342515
 1444421852340 ;BA ;ALAGOINHAS ;DISTRITO BOA UNIÃO ;BR 110, N. SN, LT 07, QD D, RUA B ;412.159,11;200.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 360.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444421852340
 1444406873391 ;BA ;BARRA DA ESTIVA ;SAO FELIX ;RUA DUQUE DE CAXIAS, N. SN, ;124.929,71;120.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 400.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406873391
 8444413544738 ;BA ;BARREIRAS ;VILA AMORIM ;RUA PRESIDENTE MEDICI, N. 752, Apto  CAS, QD- XLVI ;109.338,39;201.000,00;45.61;Casa, 0.00 de área total, 65.53 de área privativa, 90.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413544738
 1444415889165 ;BA ;BARREIRAS ;MORADA DA LUA ;RUA ALMIRA ALENCAR WANDERLEY, N. 672, QD 97 LT 14 ;177.332,70;318.000,00;44.24;Casa, 152.49 de área total, 152.49 de área privativa, 180.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444415889165
 8444413294758 ;BA ;BARREIRAS ;Lot Leopoldina Castr ;AVENIDA INTERNACIONAL, N. 1178, CS 002, QD G, LT 06 ;90.161,30;154.000,00;41.46;Casa, 53.05 de área total, 53.05 de área privativa, 75.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413294758
 8444413866018 ;BA ;BARREIRAS ;BARREIRAS ;RUA DAS ACACIAS, N. 719, LT 16-B, QD 17, 2 ETAPA ;141.488,26;237.000,00;40.31;Casa, 68.40 de área total, 68.90 de área privativa, 125.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413866018
 8444409500799 ;BA ;BARREIRAS ;MORADA DA LUA ;RUA DA ALEGRIA, N. 229, LT 05 QD 82 CS 004 ;132.970,97;220.000,00;39.56;Casa, 60.00 de área total, 60.00 de área privativa, 90.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409500799
 8444407943782 ;BA ;BARREIRAS ;LOT MORADA DA LUA ;RUA MONTEIRO LOBATO, N. 777, Apto 001,  QD 7 LT18 ;87.297,61;143.000,00;38.96;Apartamento, 71.42 de área total, 71.42 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407943782
 8444401997759 ;BA ;BARREIRAS ;SAO MIGUEL ;RUA BELMONTE, N. 61, LT 05-B - QD H ;250.526,95;409.154,19;38.77;Casa, 164.00 de área total, 70.60 de área privativa, 180.00 de área do terreno,  1 qto(s), a.serv, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444401997759
 8787702703390 ;BA ;BARREIRAS ;BANDEIRANTES ;RUA CARLOS DRUMOND DE ANDRADE, N. 391, Apto 101, BL B ;150.014,60;245.000,00;38.77;Apartamento, 68.55 de área total, 58.00 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702703390
 1444415534634 ;BA ;BARREIRAS ;LOT BANDEIRANTE I ;RUA CARLOS DRUMOND DE ANDRADE, N. 391, Apto 001, TORRE A ;135.011,30;220.000,00;38.64;Apartamento, 58.00 de área total, 58.00 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444415534634
 1444401581554 ;BA ;BARREIRAS ;LOT BRAGA E CIA ; RUA CARIBE, N. 182, CS 08 QD H LT 02 A 06 ;132.178,89;210.000,00;37.06;Casa, 82.36 de área total, 82.36 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444401581554
