
 Lista de Imóveis da Caixa;;Data de geração:;13/02/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 10137656 ;DF ;BRASILIA ;SETOR BANCARIO SUL ;SBS QUADRA 1 BL K LOTE 29 SOBRELOJA, N. 05 ;80.346,42;290.000,00;72.30;Sala, 0.00 de área total, 76.00 de área privativa, 0.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10137656
 10137653 ;DF ;BRASILIA ;SETOR BANCARIO SUL ;SBS QUADRA 1 BL K LOJA, N. 04 ;299.724,88;700.000,00;57.19;Loja, 0.00 de área total, 79.15 de área privativa, 0.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10137653
 10137654 ;DF ;BRASILIA ;SETOR BANCARIO SUL ;SBS QUADRA 1 BL K LOJA, N. 05 ;204.077,38;463.000,00;55.93;Loja, 0.00 de área total, 76.00 de área privativa, 0.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10137654
 1787700255589 ;DF ;BRASILIA ;SETOR MEIRELES (SANTA MARIA) ; RUA 300, N. SN, Apto 103, BLOCO 16, LOTE RESIDENCIAL 301, VG N. ;229.433,14;400.000,00;42.65;Apartamento, 0.00 de área total, 189.34 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787700255589
 8787712325003 ;DF ;BRASILIA ;ITAPOA PARQUE (ITAPOA) ;SETOR HABITACIONAL ITAPOA, N. SN, Apto 301, BL A1 LT 07 CJ 02 QD 501 ;81.964,82;140.000,00;41.46;Apartamento, 63.60 de área total, 46.40 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712325003
 8555536267211 ;DF ;BRASILIA ;SETOR MEIRELES (SANTA MARIA) ;AVENIDA MONUMENTAL, N. SN, Apto 302, BL G LT 25 28 ;125.718,01;208.000,00;39.56;Apartamento, 0.00 de área total, 58.60 de área privativa, 0.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555536267211
 8787706040116 ;DF ;BRASILIA ;SETOR MEIRELES (SANTA MARIA) ;RUA 300 LOTE 301, N. S/N, Apto 302, BL 24 VG 270 LT 301 ;120.882,70;200.000,00;39.56;Apartamento, 138.95 de área total, 60.50 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706040116
 1787701561098 ;DF ;BRASILIA ;ITAPOA PARQUE ;SETOR HABITACIONAL ITAPOA, N. SN, Apto 204, BL D2 LT 05 CJ 02 QD 501 ;87.908,08;144.000,00;38.96;Apartamento, 46.40 de área total, 46.40 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787701561098
 8787707881424 ;DF ;BRASILIA ;RECANTO DAS EMAS ;QUADRA 118, N. S/N, LT 23, CONJ 2 ;176.037,54;287.500,00;38.77;Terreno, 110.00 de área total, 0.00 de área privativa, 127.50 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707881424
 8444416281258 ;DF ;BRASILIA ;SETOR MEIRELES (SANTA MARIA) ;RUA 400, N. SN, Apto 201, BL L LT 401 ;97.942,87;158.585,13;38.24;Apartamento, 62.73 de área total, 44.85 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416281258
 1787701031552 ;DF ;BRASILIA ;ITAPOA PARQUE (ITAPOA) ;SETOR HABITACIONAL ITAPOA, N. 68, Apto 04, BL B2 LT 08 CJ 02 QD 501 ;98.199,10;159.000,00;38.24;Apartamento, 63.69 de área total, 46.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787701031552
 1787701253032 ;DF ;BRASILIA ;ITAPOA PARQUE (ITAPOA) ;REGIAO ADMIN DO ITAPOA - XXVIII, N. SN, Apto 301, BL F1 LT 06 CJ 01 QD 501 ;117.072,73;186.000,00;37.06;Apartamento, 63.60 de área total, 46.40 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787701253032
 10275560 ;DF ;BRASILIA ;ST HAB TORORÓ-JD BOT ;ALAMEDA DOS BOUGANVILLES, N. 00, LT 34, PARQUE DOS JARDINS ;229.433,15;360.000,00;36.27;Terreno, 0.00 de área total, 0.00 de área privativa, 1000.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10275560
 8097509756014 ;DF ;BRASILIA ;ASA NORTE ;CLN 410, N. SN, Apto 105, BL B QD 410 ;223.060,01;350.000,00;36.27;Apartamento, 68.57 de área total, 52.94 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8097509756014
 10215739 ;DF ;BRASILIA ;ALTO DA BOA VISTA (SOBRADINHO) ;RODOVIA BR-020, N. 00, BL B, LT 12, ENTRE QUADRA 101/102 ;251.739,15;395.000,00;36.27;Terreno, 0.00 de área total, 0.00 de área privativa, 250.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10215739
 10276270 ;DF ;BRASILIA ;SETOR HABITACIONAL TORORO (JARDIM BOTANI ;TRAVESSA SABIAS, N. S/N, LT 09, PQ DOS PASSAROS ;235.806,29;370.000,00;36.27;Terreno, 0.00 de área total, 0.00 de área privativa, 935.99 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10276270
 1444400153737 ;DF ;BRASILIA ;GUARA ;QI 27, N. SN, Apto 111, LT 06, SRIA/GUARÁ ;500.000,00;500.000,00;0.00;Apartamento, 92.94 de área total, 65.57 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, WC Emp, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444400153737
 8444414440707 ;DF ;BRASILIA ;TAGUATINGA ;RUA 35 NORTE, N. SN, Apto 303, LT 5, VG 04, BAIRRO: AGUAS CLARAS ;656.786,39;656.786,39;0.00;Apartamento, 152.78 de área total, 86.95 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), DCE, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414440707
 1444413909878 ;DF ;BRASILIA ;SAMAMBAIA SUL ;QUADRA 301, N. SN, Apto 901, BL C LT 3-4-5 CJ 01 VG 275 ;290.000,00;290.000,00;0.00;Apartamento, 102.89 de área total, 53.29 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444413909878
 1787700558476 ;DF ;BRASILIA ;SAMAMBAIA SUL ; QUADRA 302 CONJUNTO 6, N. SN, Apto 702, TORRE 02, LT 01 ;300.000,00;300.000,00;0.00;Apartamento, 100.12 de área total, 51.29 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787700558476
 8787708233760 ;DF ;BRASILIA ;SAMAMBAIA SUL ;QD 302, N. SN, Apto 810, TR 1 LT 1 CJ 6 ;203.102,46;203.102,46;0.00;Apartamento, 48.49 de área total, 29.90 de área privativa, 0.00 de área do terreno,  1 qto(s), 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708233760
 8555532566338 ;DF ;BRASILIA ;RIACHO FUNDO II ; QUADRA QN 21, N. S/N, Apto 401, BL 9, LT 1 A 8, CJ2 ;200.000,00;200.000,00;0.00;Apartamento, 96.44 de área total, 50.10 de área privativa, 0.00 de área do terreno,  2 qto(s).;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555532566338
