
 Lista de Imóveis da Caixa;;Data de geração:;13/02/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444428036148 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QUADRA 44, N. SN, Apto 202, LT 03 ;32.085,37;162.000,00;80.20;Apartamento, 0.00 de área total, 58.15 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428036148
 8444416700978 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM SANTA LUCIA ;RUA BAURU, N. SN, Apto 101, LT 13  QD 30 ;32.183,88;138.000,00;76.68;Apartamento, 0.00 de área total, 65.14 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416700978
 8444414748442 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM SANTA LUCIA ;QUADRA 8, N. SN, Apto 15, 1 PAVIMENTO ;32.988,48;136.000,00;75.75;Apartamento, 0.00 de área total, 65.14 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414748442
 8444415304688 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DAS AGUAS BONITAS I ;QUADRA 46, N. SN, Apto 203, RUA 10 LT 04 ;34.313,85;138.000,00;75.14;Apartamento, 0.00 de área total, 60.25 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415304688
 8444427367116 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM SANTA LUCIA ;QUADRA 10, N. SN, Apto 101, LT 18 ;34.313,85;138.000,00;75.14;Apartamento, 0.00 de área total, 59.41 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427367116
 8444427642273 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 12 ;QUADRA 73, N. SN, RUA 35 LT 09A5 CJ B ;37.715,49;150.000,00;74.86;Casa, 0.00 de área total, 69.70 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427642273
 8444415568170 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM V ;QUADRA 20, N. SN, Apto 201, LT 22 AV GOIAS VG 04 ;38.218,36;152.000,00;74.86;Apartamento, 0.00 de área total, 67.18 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415568170
 8444423179560 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 11 ;RUA 38, N. SN, Apto 101, LT 11 QD 85 CONJUNTO A SETOR 11 ;36.458,30;145.000,00;74.86;Apartamento, 0.00 de área total, 58.60 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444423179560
 8444425827560 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 11 ;QUADRA 85, N. SN, Apto 201, BL G LT 11 CJ A ST 11 ;40.743,33;160.000,00;74.54;Apartamento, 0.00 de área total, 58.60 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425827560
 8444426152582 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 11 ;R Q 85, N. SN, Apto 202, BL K LT 11 Q85 ;40.743,33;160.000,00;74.54;Apartamento, 0.00 de área total, 58.60 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426152582
 8444415657637 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM SANTA LUCIA ;QUADRA 8, N. SN, Apto 102, LT 30 AV JK ;42.525,85;167.000,00;74.54;Apartamento, 0.00 de área total, 65.14 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415657637
 8444429167505 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DAS AGUAS BONITAS I ETAPA B ;QUADRA 4, N. SN, Apto 1, LT 16-B ;27.780,26;102.000,00;72.77;Apartamento, 0.00 de área total, 46.75 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429167505
 8444422898008 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 11 ;QUADRA 85 RUA 38, N. SN, Apto 101, BL A LT 11 CONJ A ;39.112,36;140.000,00;72.07;Apartamento, 0.00 de área total, 58.60 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422898008
 8444422661156 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 11 ;QUADRA 85 RUA 38, N. SN, Apto 202, BL C LT 11 CONJ A ;45.270,37;160.000,00;71.71;Apartamento, 0.00 de área total, 58.60 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422661156
 8444418966711 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DAS AGUAS BONITAS I ;QUADRA 52 RUA 27, N. SN, Apto 201, LT 5 ;43.905,08;152.000,00;71.12;Apartamento, 0.00 de área total, 71.90 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418966711
 8444426564880 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 11 ;QUADRA 85, N. SN, Apto 102, LT 11 CJ ASETOR 11 ;35.469,02;118.000,00;69.95;Apartamento, 0.00 de área total, 58.60 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426564880
 8787701120871 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM SANTA LUCIA ;RUA BAURU, N. SN, Apto 301, LOTE 04 QUADRA 30 ;41.635,25;137.000,00;69.61;Apartamento, 0.00 de área total, 63.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701120871
 8444414317697 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DAS AGUAS BONITAS I ;QUADRA 33, N. SN, Apto 1, LT 05,  RUA 7 ;51.353,57;165.000,00;68.88;Apartamento, 0.00 de área total, 67.68 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414317697
 8444421562235 ;GO ;AGUAS LINDAS DE GOIAS ;RESIDENCIAL SOL NASCENTE I ;QUADRA 3, N. SN, Apto 3, LT 16 AV ADELIA ;35.094,80;112.000,00;68.67;Apartamento, 0.00 de área total, 31.35 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421562235
 8555515225170 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DO ENTORNO I ;QUADRA 5, N. SN, LT 06 RUA 05 ;47.838,95;149.000,00;67.90;Casa, 0.00 de área total, 123.91 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555515225170
