
 Lista de Imóveis da Caixa;;Data de geração:;13/02/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 10217983 ;PA ;ABAETETUBA ;JARUMÃ ;RAMAL DO SEYA DOHARA, N. 00 ;876.307,16;1.375.000,00;36.27;Gleba Urbana, 0.00 de área total, 0.00 de área privativa, 144779.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10217983
 1444415335330 ;PA ;ALTAMIRA ;MUTIRAO ;RUA SS 7, N. SN, LOTE 07 QUADRA 26 ;69.944,29;211.000,00;66.86;Casa, 0.00 de área total, 69.00 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444415335330
 1444402413493 ;PA ;ALTAMIRA ;COLINAS ;RUA WE 07, N. SN, LT 08B4 QD P ;132.377,92;271.000,00;51.16;Casa, 0.00 de área total, 69.80 de área privativa, 226.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444402413493
 8444404646124 ;PA ;ALTAMIRA ;COLINAS ;RUA RUA WE SEIS, N. 0, QD B LT 04A ;79.804,95;150.000,00;46.80;Casa, 60.00 de área total, 60.00 de área privativa, 150.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404646124
 8444416307435 ;PA ;ALTAMIRA ;ALBERTO SOARES ;RUA MARIO SOARES, N. 710, QD 02 CS 04 ;127.691,57;239.000,00;46.58;Casa, 0.00 de área total, 120.00 de área privativa, 120.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416307435
 8444424793858 ;PA ;ALTAMIRA ;COLINAS ;LOTE 13 QUADRA M, N. 0, LOTEAMENTO COLINAS ;136.597,45;226.000,00;39.56;Casa, 69.12 de área total, 69.12 de área privativa, 300.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424793858
 1444420607024 ;PA ;ALTAMIRA ;JARDIM UIRAPURU ;RUA POLIVALENTE, N. SN, ;446.757,32;701.000,00;36.27;Casa, 161.30 de área total, 100.80 de área privativa, 274.75 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444420607024
 1444406109705 ;PA ;ALTAMIRA ;JARDIM INDEPENDENTE I ;RUA RIO BRANCO, N. S/N°, LT 25 QD 12 ;236.443,61;371.000,00;36.27;Casa, 0.00 de área total, 300.00 de área privativa, 300.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406109705
 1444420307101 ;PA ;ALTAMIRA ;IBIZA ; TRAVESSA 10 DE AGOSTO, N. 1155, 0302LOTEAMENTO DOM LORENZO ;510.488,75;801.000,00;36.27;Casa, 300.11 de área total, 265.67 de área privativa, 370.08 de área do terreno,  4 qto(s), a.serv, WC, 3 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444420307101
 8055100001638 ;PA ;ALTAMIRA ;LOT PQ IPE ; AVENIDA PRINCIPAL, N. SN, LT 01, QD J ;160.000,00;160.000,00;0.00;Casa, 52.00 de área total, 52.00 de área privativa, 450.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8055100001638
 10007630 ;PA ;ANAJAS ;FAZENDA SÃO JOSÉ ;FAZENDA SÃO JOSÉ MARGEM DIREITA RIO ANAJÁS, N. S/N, IGARAPÉ SAPARARÁ ;2.236.602,49;4.440.000,00;49.63;Imóvel rural, 0.00 de área total, 0.00 de área privativa, 333000.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10007630
 8444433091119 ;PA ;ANANINDEUA ;MAGUARI ;ESTRADA QUINTA DA CARMITA, N. SN, Apto 104, BL 06 ;79.939,69;138.000,00;42.08;Apartamento, 102.69 de área total, 42.65 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444433091119
 8787720632653 ;PA ;ANANINDEUA ;AGUAS LINDAS ;NONA TRAVESSA, N. 147, Apto 304, BL 03 QD B VG G01 ;87.819,45;150.000,00;41.46;Apartamento, 97.25 de área total, 47.73 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787720632653
 1444417701198 ;PA ;ANANINDEUA ;COQUEIRO ;RUA ORIENTE MEDIO, N. 17A, ;109.301,14;186.000,00;41.24;Casa, 0.00 de área total, 92.40 de área privativa, 46.20 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444417701198
 8787700232374 ;PA ;ANANINDEUA ;COQUEIRO ;RODOVIA DO COQUEIRO, N. 18D-01, Apto 508, BL 10 ;104.296,65;176.000,00;40.75;Apartamento, 112.41 de área total, 41.13 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787700232374
 8787714079328 ;PA ;ANANINDEUA ;QUARENTA HORAS (COQUEIRO) ;AVENIDA GOVERNADOR HELIO DA MOTA GUEIROS, N. 436, Apto 87B, BL 13 PAV 01 ;134.784,21;223.000,00;39.56;Apartamento, 110.95 de área total, 52.82 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714079328
 8787713939773 ;PA ;ANANINDEUA ;QUARENTA HORAS (COQUEIRO) ;AVENIDA GOVERNADOR HELIO DA MOTA GUEIROS, N. 436, Apto 191A, BL 30 ;156.137,65;255.000,00;38.77;Apartamento, 129.80 de área total, 65.44 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 2 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713939773
 1444423329491 ;PA ;ANANINDEUA ;CENTRO ;RUA CLAUDIO SANDERS, N. SN, Apto 101, PV TIPO B BL 67 ;107.463,17;174.000,00;38.24;Apartamento, 112.85 de área total, 55.07 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444423329491
 8555540012281 ;PA ;ANANINDEUA ;COQUEIRO ;TRAVESSA SAO PEDRO, N. 0, Apto 002, BL C- GARDÊNIA ;147.285,05;234.000,00;37.06;Apartamento, 46.52 de área total, 46.52 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555540012281
 1787700966957 ;PA ;ANANINDEUA ;LEVILANDIA ;PASSAGEM ESTRELA - TRAVESSA JARDIM ESTRELA, N. SN, SOBRADO 01 BL 01 PARTE LT 17 ;380.476,64;597.000,00;36.27;Casa, 162.30 de área total, 99.67 de área privativa, 120.39 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787700966957
 1787701701930 ;PA ;ANANINDEUA ;QUARENTA HORAS (COQUEIRO) ;AVENIDA GOVERNADOR HELIO DA MOTA GUEIROS, N. 436, Apto 199A, BL 29 TÉRREO ;159.965,89;251.000,00;36.27;Apartamento, 129.80 de área total, 65.44 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, WC Emp, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787701701930
