
 Lista de Imóveis da Caixa;;Data de geração:;13/02/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 10139954 ;PR ;ALMIRANTE TAMANDARE ;MATO DENTRO ;RODOVIA DOS MINÉRIOS, N. 6750, GLEBA ;1.921.225,90;4.261.000,00;54.92;Gleba, 0.00 de área total, 0.00 de área privativa, 72600.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10139954
 1444419118090 ;PR ;ALMIRANTE TAMANDARE ;JARDIM ROMA ;R ARAUCARIA, N. 506, LT 11 QD 16 ;173.394,94;307.000,00;43.52;Terreno, 0.00 de área total, 0.00 de área privativa, 432.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419118090
 8787709311706 ;PR ;ALMIRANTE TAMANDARE ;COND COLINA DO SOL ;RUA MANOEL BARBOSA, N. 207, Apto 9911, BL 99, VG 385 ;105.651,47;184.000,00;42.59;Apartamento, 42.11 de área total, 40.32 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709311706
 8787708644361 ;PR ;ALMIRANTE TAMANDARE ;BAIRRO BONFIM ;RUA ALFREDO DE ANDRADE, N. 75, Apto 305, BL 12 ;109.610,38;186.000,00;41.07;Apartamento, 45.83 de área total, 40.31 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708644361
 8787705277716 ;PR ;ALMIRANTE TAMANDARE ;JARDIM BUENOS AIRES ;AVENIDA VEREADOR WADISLAU BUGALSKI, N. 3690, Apto 148, BL 01 VG 90 ;100.741,08;170.000,00;40.75;Apartamento, 50.52 de área total, 43.65 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705277716
 8787708495188 ;PR ;ALMIRANTE TAMANDARE ;JARDIM CAMPO VERDE ;RUA MANOEL BARBOSA, N. 207, Apto 8422, BL 84 VG 292 ;101.926,27;172.000,00;40.75;Apartamento, 43.37 de área total, 41.54 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708495188
 8787710167516 ;PR ;ALMIRANTE TAMANDARE ;JARDIM CAMPO VERDE ;RUA MANOEL BARBOSA, N. 207, Apto 1622, BL 16 VG 78 ;107.852,22;182.000,00;40.75;Apartamento, 60.00 de área total, 57.46 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710167516
 8787711381015 ;PR ;ALMIRANTE TAMANDARE ;TANGUA ;RUA ELIZIO FERREIRA DO NASCIMENTO, N. 961, Apto 02-G, BL G VG 123 ;98.963,30;167.000,00;40.75;Apartamento, 45.39 de área total, 41.11 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711381015
 8787708179804 ;PR ;ALMIRANTE TAMANDARE ;BONFIM ;RUA ALFREDO DE ANDRADE, N. 75, Apto 402, BL37 ;103.111,46;174.000,00;40.75;Apartamento, 45.48 de área total, 40.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708179804
 8787707492428 ;PR ;ALMIRANTE TAMANDARE ;JARDIM CAMPO VERDE ;RUA MANOEL BARBOSA, N. 207, Apto 9412, TÉRREO BL 94 VG 366 ;114.234,15;189.000,00;39.56;Apartamento, 42.12 de área total, 40.32 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707492428
 8787708365772 ;PR ;ALMIRANTE TAMANDARE ;BONFIM ;RUA ALFREDO DE ANDRADE, N. 75, Apto 201, BL 39 02º PAVIMENTO ;111.816,50;185.000,00;39.56;Apartamento, 51.56 de área total, 40.31 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708365772
 8787708459920 ;PR ;ALMIRANTE TAMANDARE ;BONFIM ;RUA ALFREDO DE ANDRADE, N. 75, Apto 405, BLOCO 24 ;113.025,32;187.000,00;39.56;Apartamento, 45.83 de área total, 40.31 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708459920
 8787708520760 ;PR ;ALMIRANTE TAMANDARE ;BONFIM ;RUA ALFREDO DE ANDRADE, N. 75, Apto 201, AP 201, BL 26 GARAG. N 660 ;113.025,32;187.000,00;39.56;Apartamento, 45.84 de área total, 40.31 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708520760
 8787708692650 ;PR ;ALMIRANTE TAMANDARE ;BONFIM ;RUA ALFREDO DE ANDRADE, N. 75, Apto 208, BL 08,VG 361 ;112.723,12;186.500,00;39.56;Apartamento, 45.84 de área total, 40.31 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708692650
 8787709148546 ;PR ;ALMIRANTE TAMANDARE ;BONFIM ;RUA ALFREDO DE ANDRADE, N. 75, Apto 207, BL. 08 VG 362 ;122.800,38;203.172,80;39.56;Apartamento, 45.48 de área total, 40.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709148546
 8787709365806 ;PR ;ALMIRANTE TAMANDARE ;BONFIM ;RUA ALFREDO DE ANDRADE, N. 75, Apto 302, BL 21 ;111.816,50;185.000,00;39.56;Apartamento, 56.73 de área total, 40.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709365806
 8787709926824 ;PR ;ALMIRANTE TAMANDARE ;BONFIM ;RUA ALFREDO DE ANDRADE, N. 75, Apto 304, , BL. 29 ;120.882,70;200.000,00;39.56;Apartamento, 45.83 de área total, 40.31 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709926824
 8286300001189 ;PR ;ALMIRANTE TAMANDARE ;LAMENHA GRANDE ;RUA JOAO GIANNINI, N. 32, CS 02 ;177.073,80;290.000,00;38.95;Casa, 0.00 de área total, 68.70 de área privativa, 294.17 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8286300001189
 8787701052612 ;PR ;ALMIRANTE TAMANDARE ;TANGUA ;RUA JOSE KLEINA, N. 501, Apto 116, BL 29 TIPO 1 ;145.877,49;238.243,38;38.77;Apartamento, 45.02 de área total, 44.38 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701052612
 1787701418422 ;PR ;ALMIRANTE TAMANDARE ;BONFIM ;RUA ALFREDO DE ANDRADE, N. 75, Apto 204, BL 36 ;120.896,48;197.000,00;38.64;Apartamento, 49.58 de área total, 43.61 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787701418422
