
 Lista de Imóveis da Caixa;;Data de geração:;13/02/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8555530858846 ;RN ;ACARI ;CENTRO ; RUA JOSE NORTE DE MEDEIROS, N. 30, 30, 0565(ANTIGA RUA PROJETADA, S/N, QU ;106.074,43;179.000,00;40.75;Casa, 98.00 de área total, 98.00 de área privativa, 250.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555530858846
 8444404591125 ;RN ;ACU ;QUINTA DO FAROL ;RUA JOÃO DE MELO NETO, N. 690, QD D LT 81 ;55.939,52;108.771,78;48.58;Casa, 0.00 de área total, 76.00 de área privativa, 200.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404591125
 8444404217231 ;RN ;ACU ;QUINTA DO FAROL ; RUA JOAO DE MELO NETO, N. 680, LT 83, QD D ;56.456,89;104.000,00;45.72;Casa, 78.00 de área total, 78.00 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404217231
 8444405022787 ;RN ;ACU ;CENTRO ; RUA MURILO DE LELIS BEZERRA FILHO, N. 987, QD D LT 05 ;30.018,55;53.000,00;43.37;Casa, 52.00 de área total, 52.00 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405022787
 8444401106650 ;RN ;ACU ;NOVO HORIZONTE ; RUA JOÃO PAULO II, N. 873, ;62.388,82;109.180,91;42.86;Casa, 69.11 de área total, 69.11 de área privativa, 200.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444401106650
 8444401305172 ;RN ;ACU ;Janduis ; RUA VEREADOR HORTÊNCIO FERREIRA DE LIMA, N. 29, ;59.428,31;104.000,00;42.86;Casa, 50.00 de área total, 50.00 de área privativa, 195.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444401305172
 8444421119838 ;RN ;ACU ;QUINTA DO FAROL ; AVENIDA DR LUIZ CARLOS, N. 884, CASA 01 ;59.999,74;105.000,00;42.86;Casa, 167.10 de área total, 75.75 de área privativa, 212.45 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421119838
 8444424051100 ;RN ;ACU ;QUINTA DO FAROL ; RUA DR MILTON MARQUES DE MEDEIROS, N. 31, LT 33 QD 02 ;64.571,15;113.000,00;42.86;Casa, 64.77 de área total, 64.77 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424051100
 8444402136587 ;RN ;ACU ;FELIZ ASSU ; RUA NOVA CANAÃ, N. 1596, LT 10 QD16 ;67.641,51;118.000,00;42.68;Casa, 70.00 de área total, 70.00 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402136587
 8444403671885 ;RN ;ACU ;MES AMOURS ; AVENIDA ALFERES JOAO PERCEVAL LINS CALDAS, N. 812, ;71.654,14;125.000,00;42.68;Casa, 72.25 de área total, 72.25 de área privativa, 195.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444403671885
 8444404080740 ;RN ;ACU ;ALTO SÃO FRANCISCO ; R FRANCISCO CONSTANTINO DE ASSIS, N. 509, ;65.921,81;115.000,00;42.68;Casa, 76.06 de área total, 76.06 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404080740
 8444405113006 ;RN ;ACU ;MES AMOURS ; AVENIDA COMANDANTE MANOEL LINS CALDAS, N. 712, LT 15 QD 25 ;69.934,44;122.000,00;42.68;Casa, 71.28 de área total, 71.28 de área privativa, 250.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405113006
 8444406528072 ;RN ;ACU ;BELA VISTA ; R POETA EZEQUIEL LINS WANDERLEY, N. 68, ;68.214,74;119.000,00;42.68;Casa, 83.76 de área total, 83.76 de área privativa, 247.16 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406528072
 8444406853291 ;RN ;ACU ;QUINTA DO FAROL ; RUA JOAO BATISTA WANDERLEY DE SÁ LEITÃO, N. 680, QD E,LT 110 ;71.080,90;124.000,00;42.68;Casa, 71.70 de área total, 71.70 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406853291
 8444411993284 ;RN ;ACU ;FELIZ ASSU ; R PREFEITO JOAO BATISTA LACERDA MONTENEGRO, N. 1174, QD 11 LT 08 ;67.641,51;118.000,00;42.68;Casa, 52.00 de área total, 52.00 de área privativa, 202.87 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444411993284
 8444424773768 ;RN ;ACU ;QUINTA DO FAROL ; RUA DR. CANTÍDIO ROSADO, N. 82, LOTE 25, QUADRA 02 ;68.787,97;120.000,00;42.68;Casa, 64.77 de área total, 64.77 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424773768
 8444400500710 ;RN ;ACU ;Janduis ; AVENIDA MUSICISTA SAMUEL SANDOVAL DA FONSECA, N. 1497, LADO PAR ;54.997,19;95.000,00;42.11;Casa, 69.96 de área total, 69.96 de área privativa, 185.00 de área do terreno,  2 qto(s), WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444400500710
 8444400714605 ;RN ;ACU ;QUINTA DO FAROL ; RUA LUIZ BENTO DA SILVA, N. 213, LT 14, QD 01 ;56.733,94;98.000,00;42.11;Casa, 67.64 de área total, 67.64 de área privativa, 201.90 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444400714605
 8444401195814 ;RN ;ACU ;QUINTA DO FAROL ; DR JERONIMO CABRAL RAPOSO CÂMARA, N. 130, L23 ;52.681,52;91.000,00;42.11;Casa, 70.00 de área total, 70.00 de área privativa, 199.41 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444401195814
 8444402445636 ;RN ;ACU ;QUINTA DO FAROL ; RUA ALFERES FRANCISCO SOARES FILGUEIRA, N. 117, ;57.891,78;100.000,00;42.11;Casa, 70.00 de área total, 70.00 de área privativa, 198.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402445636
 8444406180300 ;RN ;ACU ;ALTO SÃO FRANCISCO ; RUA ROSILDA DE OLIVEIRA SILVA, N. 984, LT 20 QD D ;56.733,94;98.000,00;42.11;Casa, 76.35 de área total, 76.35 de área privativa, 200.00 de área do terreno, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406180300
 8444407542257 ;RN ;ACU ;QUINTA DO FAROL ; RUA IRMA MARIA TEREZINHA TAVARES, N. 681, LOTE 122, QUADRA 3 ;56.155,03;97.000,00;42.11;Casa, 67.29 de área total, 67.29 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407542257
