
 Lista de Imóveis da Caixa;;Data de geração:;13/02/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 10218509 ;RO ;ALTA FLORESTA D'OESTE ;LIBERDADE ;AVENIDA PARÁ, N. 00, QD 25-B, LT 14, ST 01 ;104.992,75;170.000,00;38.24;Terreno, 0.00 de área total, 0.00 de área privativa, 1676.65 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10218509
 8444425865127 ;RO ;CACOAL ;PARQUE DOS LAGOS ;RUA MOREIAS, N. 97, QD 10 ;40.431,38;69.600,00;41.91;Terreno, 0.00 de área total, 0.00 de área privativa, 317.40 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425865127
 10282352 ;RO ;CACOAL ;FLORESTA ;AVENIDA PAULO MACHADO, N. s/n, QD 44, LT 07 ;807.000,00;807.000,00;0.00;Casa, 0.00 de área total, 214.83 de área privativa, 537.53 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10282352
 1444404718828 ;RO ;CANDEIAS DO JAMARI ;BAIRRO DAS FLORES ; RUA PRESIDENTE MEDICE, N. 530, LT 330L QD 15  SETOR 5 ;91.570,92;150.000,00;38.96;Casa, 110.65 de área total, 110.65 de área privativa, 218.40 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444404718828
 8444402273193 ;RO ;GUAJARA-MIRIM ;Setor II ; ALAMEDA SÃO JOSÉ, N. 0, LT 19, QD 161, ST 2 ;63.942,61;120.000,00;46.72;Casa, 0.00 de área total, 70.00 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402273193
 8444423500016 ;RO ;GUAJARA-MIRIM ;CENTRO ;TV FRANCISCO PINHEIRO, N. SN, LT 27 QD 94 ST 04 ;50.800,03;90.000,00;43.56;Terreno, 0.00 de área total, 0.00 de área privativa, 225.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444423500016
 1444412606120 ;RO ;GUAJARA-MIRIM ;LOT SAM BENNESBY ;RUA V3, N. 10, LT 11 QD 08B1 ;191.385,48;308.000,00;37.87;Casa, 210.56 de área total, 38.42 de área privativa, 315.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444412606120
 8444428460462 ;RO ;JARU ;RESID SAVANA PARK ;RUA  LOCAL 04, N. SN, LOTE 32-A QUADRA 20 ;177.000,00;177.000,00;0.00;Terreno, 65.99 de área total, 0.00 de área privativa, 150.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428460462
 10206958 ;RO ;JI-PARANA ;CENTRO ;RUA TENENTE BRASIL, N. SN, LT 1, ST 02, QD 04, LT 15 ;559.766,90;965.000,00;42.00;Terreno, 0.00 de área total, 0.00 de área privativa, 843.60 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10206958
 10206961 ;RO ;JI-PARANA ;CENTRO ;RUA TENENTE BRASIL, N. SN, STR 02 01, QD 09,LT 15 ;460.575,04;794.000,00;42.00;Terreno, 0.00 de área total, 0.00 de área privativa, 585.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10206961
 8444422320146 ;RO ;JI-PARANA ;GREEN PARK ;RUA FLOR DE LIS, N. 643, LT 17 QD 75 ;102.518,87;173.000,00;40.75;Casa, 55.25 de área total, 55.25 de área privativa, 156.25 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422320146
 8444429794518 ;RO ;JI-PARANA ;JK ;RUA PAVAO, N. 2578, LT 01 H3B QD 100 ST 07-01-K ;127.531,25;211.000,00;39.56;Casa, 67.78 de área total, 67.78 de área privativa, 158.52 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429794518
 10276423 ;RO ;JI-PARANA ;CENTRO ;RUA SEIS DE MAIO, N. SN, QD 34,LT 13,ST 02.01 ;544.903,73;855.000,00;36.27;Prédio, 0.00 de área total, 139.44 de área privativa, 830.88 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10276423
 10276425 ;RO ;JI-PARANA ;CENTRO ;RUA PEDRO TEIXEIRA, N. SN, QD 34,LT 02,ST 02.01 ;637.314,30;1.000.000,00;36.27;Terreno, 0.00 de área total, 0.00 de área privativa, 743.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10276425
 10202885 ;RO ;OURO PRETO DO OESTE ;CENTRO ;RUA JOÃO WESLEY (ANTIGA MARGINAL IGARAPÉ), N. 00, ST 01, QD 31, LT 375 ;334.119,93;608.000,00;45.05;Terreno, 0.00 de área total, 0.00 de área privativa, 7273.85 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10202885
 10012278 ;RO ;PORTO VELHO ;CIDADE JARDIM ;RUA SEBASTIÃO HAFFNER, N. 650, QD 10, LOTE 650, SETOR 51 ;501.296,33;1.809.364,27;72.30;Terreno, 0.00 de área total, 0.00 de área privativa, 5650.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10012278
 10012279 ;RO ;PORTO VELHO ;CIDADE JARDIM ;RUA HORTELA, N. S/N, QD 10, SETOR 51, LT 829 ;291.665,05;579.000,00;49.63;Outros, 0.00 de área total, 0.00 de área privativa, 6017.25 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10012279
 1444418713378 ;RO ;PORTO VELHO ;AEROCLUBE ;RUA BARLAVENTO, N. 229, QD 33 ;164.907,60;277.000,00;40.47;Casa, 0.00 de área total, 60.87 de área privativa, 60.87 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418713378
 10207663 ;RO ;PORTO VELHO ;CASTANHEIRA ;RUA PIRACICABA, N. 5224, ST 29, QD 6, LT 40 ;242.407,92;399.176,27;39.28;Casa, 0.00 de área total, 194.64 de área privativa, 250.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 2 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10207663
 1444417460662 ;RO ;PORTO VELHO ;LAGOINHA ;RUA BENEDITO INOCENCIO, N. 6063, LT 11 QD W ;370.023,18;606.000,00;38.95;Casa, 0.00 de área total, 268.03 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444417460662
 1444418039030 ;RO ;PORTO VELHO ;CENTRO ;RUA PRUDENTE DE MORAES, N. 2566, LT 0762 QD 036 SETOR 003 ;392.215,97;631.200,00;37.87;Casa, 157.21 de área total, 157.21 de área privativa, 157.21 de área do terreno, WC, 3 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418039030
 8444418306070 ;RO ;PORTO VELHO ;CONCEICAO ;RUA RIO GRANDE DO SUL, N. SN, LOTE 0076, QUADRA 112, SETOR 028 ;198.842,06;320.000,00;37.87;Casa, 167.15 de área total, 167.15 de área privativa, 272.83 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418306070
 1555539033639 ;RO ;PORTO VELHO ;LIBERDADE ;RUA JOSE RIBAMAR DE MIRANDA, N. 2915, LOTE 0324 QD 22 SETOR 09 ;147.914,48;235.000,00;37.06;Casa, 72.40 de área total, 72.40 de área privativa, 360.00 de área do terreno, 2 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555539033639
 8444401586970 ;RO ;PORTO VELHO ;PEDRINHAS ;RUA LEONARDO DA VINCI, N. 208, Apto 202, 1° PAV. ;141.620,24;225.000,00;37.06;Apartamento, 73.63 de área total, 63.93 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444401586970
