
 Lista de Imóveis da Caixa;;Data de geração:;13/02/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444429185090 ;RR ;BOA VISTA ;CIDADE SATELITE ;AVENIDA JARDIM, N. 1336, Apto 303, BL 10, LT 526, QD 719 ;56.444,48;100.000,00;43.56;Apartamento, 50.17 de área total, 44.19 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429185090
 8787715297795 ;RR ;BOA VISTA ;MURILO TEIXEIRA CIDADE ;RUA SR-22, N. 115, LT 174 QD 39 ZONA 18 ;130.553,32;216.000,00;39.56;Casa, 58.41 de área total, 58.41 de área privativa, 250.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715297795
 8787715569124 ;RR ;BOA VISTA ;MURILO TEIXEIRA CIDADE ;RUA SR-23, N. 146, LT 468 QD 41 ;150.014,60;245.000,00;38.77;Casa, 58.41 de área total, 58.41 de área privativa, 250.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715569124
 8444419884425 ;RR ;BOA VISTA ;CIDADE SATELITE ;RUA POR DO SOL, N. 522, QD 713 ;169.569,56;130.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 360.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444419884425
 8444418828904 ;RR ;BOA VISTA ;MONTE CRISTO ;RUA LUCIANE GOMES COSTA, N. SN, QD 70 LT 75 ;125.115,68;60.000,00;0.00;Casa, 46.00 de área total, 46.00 de área privativa, 250.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418828904
 8444426784520 ;RR ;BOA VISTA ;LAURA MOREIRA ;AVENIDA CAJUEIROS, N. 152, LT 176 QD 76 ;155.643,88;72.500,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 250.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426784520
 8444411845536 ;RR ;CANTA ;DIS SANTA CECILIA ; R RICHARD STRAUSS, N. S/N, LT 24, QD 12 ;205.000,00;205.000,00;0.00;Casa, 49.00 de área total, 49.00 de área privativa, 440.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444411845536
 8444428981551 ;RR ;CANTA ;LOT SANTA CECILIA ;RUA JOHANNES BRAHMS, N. 506,  LT 30 Q 03 ;398.000,00;398.000,00;0.00;Casa, 85.72 de área total, 85.72 de área privativa, 360.00 de área do terreno,  2 qto(s), WC, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428981551
