
 Lista de Imóveis da Caixa;;Data de geração:;13/02/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1444408900051 ;TO ;ARAGUAINA ;SETOR ANA MARIA ;RUA WILLIAN DE ALMEIDA AVELAR, N. SN, CS 17 QD 15 ;276.000,00;276.000,00;0.00;Casa, 0.00 de área total, 102.70 de área privativa, 277.50 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444408900051
 1444412785253 ;TO ;ARAGUAINA ;LOTEAMENTO JARDIM BOA SORTE ;RUA C, N. SN, LOTE 23 QUADRA QE-40 ;300.000,00;300.000,00;0.00;Casa, 112.79 de área total, 112.79 de área privativa, 300.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444412785253
 8787701706590 ;TO ;ARAGUAINA ;LOTEAMENTO PARQUE DO LAGO ;RUA 33, N. SN, QD 23 LT 29 ;220.000,00;200.000,00;0.00;Casa, 65.21 de área total, 65.21 de área privativa, 270.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701706590
 1444408243336 ;TO ;AUGUSTINOPOLIS ;SETOR CENTRAL ;RUA PEDRO COELHO AMARO, N. SN, LT 01 02 03 QD 23 ;244.091,38;383.000,00;36.27;Casa, 224.50 de área total, 224.50 de área privativa, 846.00 de área do terreno,  3 qto(s), varanda, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444408243336
 1444405779189 ;TO ;AUGUSTINOPOLIS ;CENTRO ; RUA SÃO SEBASTIAO, N. SN, QD 06 LT 11B ;61.000,00;61.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 238.02 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444405779189
 1444416152174 ;TO ;BRASILANDIA DO TOCANTINS ;Centro ;AVENIDA JOAO PIRES DE CASTRO, N. SN, LT04 QD29 ;382.388,58;600.000,00;36.27;Casa, 360.19 de área total, 360.19 de área privativa, 691.50 de área do terreno,  5 qto(s), a.serv, WC, 2 sala(s), cozinha, Terraco, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444416152174
 10275688 ;TO ;COLINAS DO TOCANTINS ;CENTRO ;AVENIDA BERNARDO SAYÃO, N. 00, QD 96-B, LT 12 ;340.000,00;192.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 480.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10275688
 1555530164129 ;TO ;DIANOPOLIS ;SETOR CENTRAL ;RUA HONORIO JOSE CARDOSO, N. SN, LT 01B PARTE DESMEMB LT 01 QD G ;197.681,52;370.000,00;46.58;Terreno, 0.00 de área total, 0.00 de área privativa, 5717.66 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555530164129
 8444422320286 ;TO ;GURUPI ;LOTEAMENTO AGUAS CLARAS ;RUA 35, N. 202, LT 28 QD QR-08 ;59.428,31;104.000,00;42.86;Casa, 51.50 de área total, 51.50 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422320286
 1444415340635 ;TO ;GURUPI ;JARDIM ELDORADO ;RUA 7, N. SN, LT03, QD13 ;197.000,00;197.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 360.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444415340635
 1444408141029 ;TO ;GURUPI ;PARQUE RESIDENCIAL NOVA FRONTEIRA ;RUA 61, N. 1015, LT 10 QD 133 ;260.728,62;260.728,62;0.00;Casa, 0.00 de área total, 136.41 de área privativa, 381.24 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444408141029
 1444408166919 ;TO ;GURUPI ;JARDIM GUANABARA ;RUA 4, N. 76, CHÁCARAS N° 78-D E 78-E-10 ;162.000,00;162.000,00;0.00;Casa, 76.77 de área total, 76.77 de área privativa, 240.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444408166919
 1555513900726 ;TO ;MIRACEMA DO TOCANTINS ;SETOR SUSSUAPARA II ; RUA 27, N. 283, QD 93, LT 35, SETOR SUSSUAPARA II ;79.858,06;144.000,00;44.55;Casa, 0.00 de área total, 242.73 de área privativa, 360.00 de área do terreno,  3 qto(s), varanda, WC, 1 sala(s).;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555513900726
 8555518066960 ;TO ;MIRACEMA DO TOCANTINS ;SETOR CENTRAL ; RUA MARANHAO, N. S/N, LT 12, QD B ;93.744,60;167.000,00;43.87;Casa, 0.00 de área total, 180.00 de área privativa, 360.00 de área do terreno,  3 qto(s), WC, 3 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555518066960
 8555504121688 ;TO ;MIRACEMA DO TOCANTINS ;SETOR CENTRAL ;RUA DA CANCELA, N. SN, LT 04, QD B ;39.530,77;70.000,00;43.53;Casa, 0.00 de área total, 50.59 de área privativa, 360.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555504121688
 10277487 ;TO ;MIRACEMA DO TOCANTINS ;MIRACEMA DO TOCANTIS ;LOTEAMENTO POÇO AZUL, N. SN ;439.109,55;689.000,00;36.27;Imóvel rural, 0.00 de área total, 0.00 de área privativa, 50000.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10277487
 8787705796209 ;TO ;PALMAS ;PLANO DIRETOR NORTE ;RUA 01-B, N. SN, Apto 106, BL 01 LT 09-A VAGAS 212 M42 ;122.695,94;203.000,00;39.56;Apartamento, 66.98 de área total, 42.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705796209
 8444408731207 ;TO ;PALMAS ;CENTRO (TAQUARALTO) ;RUA 6, N. S/N, CS 01 LT 10 QD 20 ;126.926,84;210.000,00;39.56;Casa, 86.42 de área total, 86.42 de área privativa, 150.49 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408731207
 8444415507317 ;TO ;PALMAS ;LOTEAMENTO SANTA FE QUARTA ETAPA ;RUA MACAUBA, N. SN, CS 02 LT 20 QD 26 ;123.904,77;205.000,00;39.56;Casa, 180.00 de área total, 84.69 de área privativa, 180.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415507317
 1444408211167 ;TO ;PALMAS ;SETOR SUL (TAQUARALTO) ;RUA S 3, N. SN, LT 18-A QD 10 1º ETAPA - FOLHA 02 ;125.884,66;200.000,00;37.06;Casa, 101.99 de área total, 101.99 de área privativa, 225.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444408211167
 1444402858967 ;TO ;PALMAS ;PLANO DIRETOR ;ALAMEDA 13, N. 14, CJ QI-11 QD ARSO-121 ;376.015,44;590.000,00;36.27;Prédio, 0.00 de área total, 221.70 de área privativa, 360.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 3 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444402858967
 8444426145608 ;TO ;PALMAS ;LOT TAQUARALTO ;RUA 2, N. S/N, CASA 1, LT 2, QD 23 ;154.000,00;154.000,00;0.00;Casa, 104.63 de área total, 64.53 de área privativa, 104.63 de área do terreno,  2 qto(s), a.serv, WC, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426145608
